t,topico,FL,FR,dpad_x
10.657,rodas,-12.0,19.0,
10.716,rodas,-12.0,19.0,
10.717,rodas,-12.0,17.0,
10.777,rodas,-11.0,17.0,
10.777,rodas,-11.0,16.0,
10.778,rodas,-11.0,16.0,
10.817,rodas,-15.0,-0.0,
10.817,rodas,-15.0,-0.0,
10.877,rodas,0.0,17.0,
10.877,rodas,0.0,17.0,
10.878,rodas,-17.0,19.0,
10.917,rodas,-17.0,18.0,
10.917,rodas,-34.0,18.0,
10.977,rodas,-34.0,17.0,
10.977,rodas,-13.0,17.0,
10.978,rodas,-13.0,17.0,
11.016,rodas,-13.0,15.0,
11.017,rodas,-13.0,15.0,
11.077,rodas,-13.0,16.0,
11.077,rodas,-13.0,16.0,
11.078,rodas,-9.0,16.0,
11.116,rodas,-9.0,16.0,
11.117,rodas,-9.0,16.0,
11.178,rodas,-9.0,16.0,
11.178,rodas,-10.0,-0.0,
11.179,rodas,-10.0,-0.0,
11.217,rodas,-10.0,-23.0,
11.218,rodas,-10.0,-25.0,
11.277,rodas,-10.0,-32.0,
11.278,rodas,-10.0,-35.0,
11.278,rodas,-12.0,-38.0,
11.317,rodas,-12.0,-35.0,
11.317,rodas,-14.0,-40.0,
11.377,rodas,-14.0,-40.0,
11.377,rodas,-18.0,-43.0,
11.378,rodas,-18.0,-44.0,
11.416,rodas,0.0,-52.0,
11.417,rodas,0.0,-46.0,
11.477,rodas,0.0,-48.0,
11.477,rodas,-20.0,-48.0,
11.478,rodas,-20.0,-49.0,
11.516,rodas,-23.0,-49.0,
11.517,rodas,-24.0,-50.0,
11.577,rodas,-30.0,-48.0,
11.578,rodas,-40.0,-48.0,
11.578,rodas,-40.0,-47.0,
11.617,rodas,-48.0,-46.0,
11.617,rodas,-55.0,-46.0,
11.677,rodas,-57.0,-43.0,
11.677,rodas,-58.0,-35.0,
11.678,rodas,-54.0,-38.0,
11.717,rodas,-52.0,-38.0,
11.717,rodas,-51.0,-26.0,
11.777,rodas,-53.0,-24.0,
11.777,rodas,-52.0,-24.0,
11.778,rodas,-53.0,-18.0,
11.817,rodas,-52.0,-17.0,
11.819,rodas,-51.0,-17.0,
11.877,rodas,-51.0,-17.0,
11.878,rodas,-49.0,-14.0,
11.878,rodas,-49.0,-14.0,
11.917,rodas,-47.0,-13.0,
11.917,rodas,-47.0,-13.0,
11.977,rodas,-46.0,-13.0,
11.978,rodas,-45.0,-12.0,
11.978,rodas,-44.0,-12.0,
12.017,rodas,-43.0,-13.0,
12.017,rodas,-42.0,-13.0,
12.077,rodas,-37.0,-13.0,
12.078,rodas,-40.0,-11.0,
12.078,rodas,-40.0,-11.0,
12.117,rodas,-39.0,-11.0,
12.117,rodas,-38.0,-12.0,
12.177,rodas,-38.0,-12.0,
12.177,rodas,-37.0,-12.0,
12.178,rodas,-36.0,-12.0,
12.217,rodas,-35.0,-12.0,
12.217,rodas,-34.0,-11.0,
12.277,rodas,-30.0,-11.0,
12.278,rodas,-33.0,-11.0,
12.279,rodas,-30.0,-11.0,
12.317,rodas,-31.0,-11.0,
12.317,rodas,-30.0,-16.0,
12.377,rodas,-32.0,-16.0,
12.377,rodas,-29.0,-19.0,
12.377,rodas,-32.0,-25.0,
12.417,rodas,-32.0,-25.0,
12.417,rodas,-30.0,-35.0,
12.477,rodas,-30.0,-35.0,
12.477,rodas,-27.0,-41.0,
12.480,rodas,-31.0,-38.0,
12.517,rodas,-31.0,-41.0,
12.518,rodas,-26.0,-48.0,
12.577,rodas,-29.0,-50.0,
12.578,rodas,-25.0,-57.0,
12.578,rodas,-26.0,-59.0,
12.617,rodas,-26.0,-62.0,
12.617,rodas,-23.0,-63.0,
12.677,rodas,-24.0,-63.0,
12.677,rodas,-24.0,-64.0,
12.678,rodas,-21.0,-62.0,
12.717,rodas,-26.0,-62.0,
12.717,rodas,-30.0,-60.0,
12.777,rodas,-36.0,-58.0,
12.778,rodas,-32.0,-57.0,
12.778,rodas,-45.0,-56.0,
12.817,rodas,-48.0,-55.0,
12.817,rodas,-46.0,-52.0,
12.877,rodas,-50.0,-51.0,
12.878,rodas,-53.0,-44.0,
12.878,rodas,-56.0,-47.0,
12.917,rodas,-57.0,-45.0,
12.917,rodas,-58.0,-44.0,
12.977,rodas,-57.0,-43.0,
12.977,rodas,-56.0,-39.0,
12.978,rodas,-55.0,-38.0,
13.017,rodas,-52.0,-36.0,
13.017,rodas,-50.0,-30.0,
13.077,rodas,-46.0,-33.0,
13.077,rodas,-44.0,-28.0,
13.078,rodas,-42.0,-28.0,
13.117,rodas,-33.0,-29.0,
13.117,rodas,-36.0,-29.0,
13.176,rodas,-36.0,-27.0,
13.177,rodas,-30.0,-21.0,
13.177,rodas,-28.0,-21.0,
13.217,rodas,-23.0,-0.0,
13.217,rodas,-23.0,-0.0,
13.277,rodas,-17.0,-12.0,
13.277,rodas,-17.0,-12.0,
13.277,rodas,-17.0,-0.0,
13.317,rodas,-17.0,-0.0,
13.317,rodas,16.0,-0.0,
13.377,rodas,16.0,14.0,
13.377,rodas,16.0,26.0,
13.377,rodas,12.0,26.0,
13.417,rodas,12.0,33.0,
13.417,rodas,16.0,35.0,
13.477,rodas,19.0,32.0,
13.477,rodas,19.0,35.0,
13.478,rodas,21.0,44.0,
13.516,rodas,24.0,38.0,
13.517,rodas,24.0,43.0,
13.577,rodas,22.0,43.0,
13.577,rodas,0.0,44.0,
13.578,rodas,26.0,44.0,
13.617,rodas,53.0,46.0,
13.617,rodas,53.0,46.0,
13.677,rodas,35.0,46.0,
13.677,rodas,27.0,47.0,
13.677,rodas,27.0,45.0,
13.717,rodas,27.0,45.0,
13.717,rodas,27.0,43.0,
13.777,rodas,27.0,43.0,
13.778,rodas,27.0,38.0,
13.779,rodas,26.0,41.0,
13.818,rodas,26.0,41.0,
13.818,rodas,24.0,39.0,
13.877,rodas,24.0,39.0,
13.878,rodas,25.0,39.0,
13.878,rodas,25.0,34.0,
13.937,rodas,23.0,37.0,
13.937,rodas,23.0,36.0,
13.977,rodas,24.0,35.0,
13.977,rodas,0.0,36.0,
13.978,rodas,26.0,30.0,
