t,x,y,yaw,dist
7.9646,2.98597,3.33554,-1.91231,8.33031
7.9856,2.98414,3.33007,-1.91359,8.33414
8.0044,2.98229,3.3246,-1.91488,8.33798
8.0245,2.98044,3.31914,-1.91616,8.34183
8.0448,2.9784,3.31381,-1.91457,8.34581
8.066,2.97632,3.30847,-1.91254,8.34982
8.0855,2.97425,3.30313,-1.91052,8.35383
8.106,2.97219,3.29779,-1.90851,8.35783
8.1268,2.97015,3.29244,-1.9065,8.36182
8.148,2.96811,3.28709,-1.90442,8.36581
8.1668,2.96608,3.28174,-1.90236,8.36979
8.1868,2.96407,3.27639,-1.9003,8.37377
8.2071,2.96206,3.27102,-1.89825,8.37774
8.2279,2.96007,3.26566,-1.89622,8.3817
8.2476,2.9587,3.26165,-1.89575,8.38454
8.2682,2.9574,3.25777,-1.89575,8.38729
8.2877,2.95611,3.254,-1.89584,8.38997
8.309,2.9548,3.25012,-1.89584,8.39272
8.3279,2.9535,3.24624,-1.89584,8.39547
8.3483,2.95173,3.24128,-1.89561,8.39907
8.3684,2.94983,3.23591,-1.89459,8.40295
8.3878,2.94795,3.23055,-1.89357,8.40683
8.408,2.94607,3.22517,-1.89256,8.41071
8.4283,2.94419,3.2198,-1.89154,8.41459
8.4485,2.94229,3.21431,-1.89063,8.41853
8.4688,2.9404,3.20882,-1.88975,8.42248
8.4885,2.93851,3.20332,-1.88886,8.42642
8.5083,2.93662,3.19782,-1.88798,8.43036
8.528,2.93474,3.19232,-1.8871,8.4343
8.5485,2.93303,3.1879,-1.88354,8.43766
8.5703,2.93131,3.18366,-1.87956,8.44095
8.5894,2.92964,3.17942,-1.87585,8.44419
8.6101,2.928,3.17516,-1.87226,8.44742
8.63,2.92637,3.17089,-1.86866,8.45064
8.6507,2.9246,3.16674,-1.86254,8.45394
8.6692,2.92283,3.16259,-1.85626,8.45724
8.6905,2.92109,3.15844,-1.84998,8.46052
8.7104,2.91938,3.15427,-1.84371,8.46378
8.7311,2.91769,3.15009,-1.83745,8.46702
8.7536,2.91585,3.14595,-1.82868,8.47039
8.7733,2.91402,3.14181,-1.81975,8.47375
8.7929,2.91223,3.13764,-1.81084,8.47709
8.8131,2.91048,3.13345,-1.80194,8.4804
8.8332,2.90877,3.12925,-1.79307,8.48368
8.8528,2.90701,3.12522,-1.78267,8.48693
8.8731,2.90529,3.12117,-1.77224,8.49015
8.8931,2.90362,3.11711,-1.76186,8.49335
8.9125,2.90199,3.11301,-1.75153,8.49651
8.9332,2.90041,3.10889,-1.74126,8.49965
8.9533,2.89886,3.10478,-1.73083,8.50275
8.9727,2.89736,3.10065,-1.72043,8.50582
8.9927,2.8959,3.0965,-1.71003,8.50885
9.0136,2.89448,3.09234,-1.69962,8.51186
9.0336,2.89311,3.08817,-1.68922,8.51483
9.0539,2.89176,3.08403,-1.67849,8.51777
9.0729,2.89045,3.07988,-1.66776,8.52067
9.0926,2.88919,3.07572,-1.65703,8.52354
9.1132,2.88797,3.07154,-1.6463,8.52638
9.1334,2.8868,3.06735,-1.63557,8.52918
9.1529,2.88566,3.06317,-1.62472,8.53195
9.1727,2.88457,3.05897,-1.61388,8.53468
9.1929,2.88353,3.05476,-1.60304,8.53738
9.2129,2.88253,3.05054,-1.5922,8.54004
9.234,2.88158,3.04631,-1.58136,8.54266
9.2531,2.88066,3.0421,-1.57032,8.54525
9.2727,2.87978,3.03789,-1.55928,8.5478
9.293,2.87895,3.03366,-1.54824,8.55032
9.3137,2.87817,3.02942,-1.5372,8.5528
9.334,2.87743,3.02518,-1.52616,8.55524
9.3541,2.87671,3.02099,-1.5147,8.55765
9.374,2.87603,3.01679,-1.50324,8.56002
9.3938,2.8754,3.01259,-1.49177,8.56235
9.4149,2.87482,3.00838,-1.48031,8.56465
9.434,2.87429,3.00416,-1.46885,8.5669
9.4537,2.87381,2.99992,-1.45748,8.56911
9.4741,2.87339,2.99567,-1.44617,8.57128
9.4945,2.87302,2.99142,-1.43486,8.57341
9.5139,2.87269,2.98716,-1.42355,8.57549
9.534,2.87242,2.9829,-1.41224,8.57754
9.5543,2.87218,2.97864,-1.40087,8.57955
9.5738,2.872,2.97438,-1.38951,8.58152
9.5938,2.87186,2.97012,-1.37814,8.58345
9.614,2.87177,2.96586,-1.36678,8.58533
9.6342,2.87173,2.96159,-1.35541,8.58717
9.6539,2.87175,2.95731,-1.34416,8.58897
9.6739,2.87184,2.95301,-1.33312,8.59071
9.6938,2.87199,2.94869,-1.32215,8.59241
9.7146,2.87218,2.94438,-1.31118,8.59407
9.7348,2.87243,2.94007,-1.3002,8.59568
9.7543,2.87273,2.93574,-1.28935,8.59725
9.774,2.87311,2.9314,-1.27872,8.59876
9.7945,2.87354,2.92705,-1.26812,8.60023
9.8143,2.87401,2.9227,-1.25753,8.60166
9.8351,2.87453,2.91837,-1.24693,8.60304
9.8539,2.8751,2.91403,-1.23637,8.60438
9.8752,2.87572,2.9097,-1.22581,8.60568
9.8939,2.87638,2.90537,-1.21526,8.60694
9.9147,2.87709,2.90106,-1.2047,8.60815
9.9339,2.87784,2.89675,-1.19414,8.60933
9.9552,2.87866,2.89243,-1.18373,8.61045
9.9756,2.87956,2.88809,-1.17359,8.6115
9.9956,2.88051,2.88375,-1.16351,8.61252
10.0156,2.88151,2.87942,-1.15343,8.61349
10.0356,2.88255,2.87511,-1.14335,8.61442
10.0554,2.88364,2.87079,-1.13338,8.6153
10.0753,2.88479,2.86648,-1.12343,8.61613
10.0955,2.88597,2.86218,-1.11348,8.61693
