fonte,t,x,y
caminho_realizado,43.328,4.2771,1.5861
caminho_realizado,43.433,4.2776,1.5866
caminho_realizado,43.532,4.2781,1.5871
caminho_realizado,43.632,4.2785,1.5875
caminho_realizado,43.732,4.279,1.588
caminho_realizado,43.834,4.2794,1.5885
caminho_realizado,43.934,4.2799,1.589
caminho_realizado,44.044,4.2804,1.5895
caminho_realizado,44.149,4.2808,1.59
caminho_realizado,44.251,4.2813,1.5905
caminho_realizado,44.35,4.2817,1.5909
caminho_realizado,44.45,4.2822,1.5914
caminho_realizado,44.55,4.2826,1.5919
caminho_realizado,44.65,4.283,1.5923
caminho_realizado,44.758,4.2835,1.5928
caminho_realizado,44.862,4.284,1.5933
caminho_realizado,44.962,4.2844,1.5938
caminho_realizado,45.064,4.2848,1.5943
caminho_realizado,45.162,4.2853,1.5947
caminho_realizado,45.262,4.2857,1.5952
caminho_realizado,45.362,4.2861,1.5957
caminho_realizado,45.464,4.2866,1.5961
caminho_realizado,45.566,4.287,1.5966
caminho_realizado,45.666,4.2875,1.5971
caminho_realizado,45.766,4.2879,1.5976
caminho_realizado,45.866,4.2857,1.5965
caminho_realizado,45.966,4.2765,1.5913
caminho_realizado,46.066,4.2605,1.5821
caminho_realizado,46.166,4.2384,1.5693
caminho_realizado,46.268,4.2136,1.5548
caminho_realizado,46.37,4.189,1.5404
caminho_realizado,46.484,4.1647,1.526
caminho_realizado,46.585,4.1406,1.5115
caminho_realizado,46.684,4.1166,1.497
caminho_realizado,46.784,4.0925,1.4823
caminho_realizado,46.885,4.0665,1.4657
caminho_realizado,46.985,4.0427,1.4508
caminho_realizado,47.085,4.0252,1.4407
caminho_realizado,47.187,4.015,1.434
caminho_realizado,47.287,4.0115,1.4316
caminho_realizado,47.386,4.0142,1.4343
caminho_realizado,47.486,4.0238,1.441
caminho_realizado,47.586,4.0412,1.4506
caminho_realizado,47.689,4.0651,1.4631
caminho_realizado,47.79,4.0916,1.4763
caminho_realizado,47.894,4.1166,1.487
caminho_realizado,47.994,4.1407,1.4961
caminho_realizado,48.094,4.1637,1.5042
caminho_realizado,48.198,4.1856,1.5118
caminho_realizado,48.303,4.2071,1.5197
caminho_realizado,48.401,4.2285,1.5288
caminho_realizado,48.501,4.252,1.5405
caminho_realizado,48.603,4.2784,1.5559
caminho_realizado,48.705,4.3032,1.5717
caminho_realizado,48.805,4.3271,1.5876
caminho_realizado,48.907,4.3504,1.6034
caminho_realizado,49.007,4.3673,1.6141
caminho_realizado,49.106,4.3778,1.62
caminho_realizado,49.208,4.3813,1.622
caminho_realizado,49.307,4.3776,1.6201
caminho_realizado,49.41,4.367,1.6144
caminho_realizado,49.51,4.3499,1.6051
caminho_realizado,49.61,4.3314,1.5951
caminho_realizado,49.714,4.3179,1.5879
caminho_realizado,49.815,4.3092,1.5831
caminho_realizado,49.915,4.3051,1.5809
caminho_realizado,50.015,4.3048,1.5805
caminho_realizado,50.117,4.3053,1.5806
caminho_realizado,50.217,4.3058,1.5807
caminho_realizado,50.317,4.3063,1.5807
caminho_realizado,50.417,4.3067,1.5808
caminho_realizado,50.517,4.3072,1.5809
caminho_realizado,50.618,4.3077,1.581
caminho_realizado,50.718,4.3082,1.581
caminho_realizado,50.818,4.3087,1.5811
caminho_realizado,50.918,4.3091,1.5812
caminho_realizado,51.019,4.3096,1.5812
caminho_realizado,51.119,4.3101,1.5813
caminho_realizado,51.222,4.3106,1.5814
caminho_realizado,51.322,4.3111,1.5815
caminho_realizado,51.421,4.3116,1.5815
caminho_realizado,51.522,4.312,1.5816
caminho_realizado,51.633,4.3126,1.5817
caminho_realizado,51.733,4.3131,1.5818
caminho_realizado,51.833,4.3135,1.5818
caminho_realizado,51.932,4.314,1.5819
caminho_realizado,52.034,4.3145,1.582
caminho_realizado,52.135,4.315,1.582
caminho_realizado,52.235,4.3155,1.5821
caminho_realizado,52.337,4.316,1.5822
caminho_realizado,52.438,4.3164,1.5823
