t,x,y,yaw,v_ped,wz_ped,v_ent,wz_ent,v_real,wz_real
22.6,1.321458472698777,2.6962604451510797,-1.7111393631898282,0.44822881587318614,0.5047663246434223,0.44822881587318614,0.5047663246434223,0.2872493349903193,0.06622106058721342
22.62,1.3205559546430023,2.6905751650309693,-1.709892049601445,0.4458653221880029,0.5109662832346337,0.4458653221880029,0.5109662832346337,0.28782350879107765,0.062365679419164266
22.64,1.319655383518254,2.6849043915590607,-1.708551059732873,0.4458653221880029,0.5109662832346337,0.4458653221880029,0.5109662832346337,0.2870918847705119,0.06704949342859622
22.66,1.3187624176224677,2.6792324155810503,-1.7072100695100665,0.44015717154707756,0.5259949939662817,0.44015717154707756,0.5259949939662817,0.28709188244430506,0.0670495111403283
22.68,1.3178636298697108,2.673598679797929,-1.705632468711001,0.44015717154707756,0.5259949939662817,0.44015717154707756,0.5259949939662817,0.2852490065649932,0.07888003995327911
22.7,1.3169737309501968,2.6679635332234475,-1.7040548670647526,0.44015717154707756,0.5259949939662817,0.44015717154707756,0.5259949939662817,0.28524900088714933,0.07888008231241751
22.72,1.316092723149361,2.6623269897563855,-1.7024772653998563,0.4411121068569479,0.5234243193401664,0.4411121068569479,0.5234243193401664,0.285249000879994,0.07888008324481612
22.74,1.3152223917487456,2.6566833302473216,-1.7009341114535685,0.4411121068569479,0.5234243193401664,0.4411121068569479,0.5234243193401664,0.28551869203760477,0.07715769731439114
22.76,1.314361316292873,2.651037340656449,-1.699396945919537,0.43990352698008706,0.5268681773994771,0.43990352698008706,0.5268681773994771,0.28556369430014655,0.07685827670156262
22.78,1.3135058272482372,2.6453988875539727,-1.6978065111341296,0.43990352698008706,0.5268681773994771,0.43990352698008706,0.5268681773994771,0.2851491491058541,0.07952173927037345
22.8,1.3126593068457888,2.6397590810390774,-1.696216075994275,0.437280115258837,0.5331552662861995,0.43990352698008706,0.5268681773994771,0.2851491465760409,0.07952175699273038
22.82,1.3118217572443858,2.6341179353476725,-1.694625640696164,0.437280115258837,0.5331552662861995,0.437280115258837,0.5331552662861995,0.2851491453891645,0.07952176490555633
22.84,1.3109871048390367,2.628492586694797,-1.6929320101155374,0.437280115258837,0.5331552662861995,0.437280115258837,0.5331552662861995,0.28434658475250996,0.08468152903132922
22.86,1.310161980843072,2.6228658326068923,-1.6912383789568044,0.4360790113641734,0.5359472111542424,0.4360790113641734,0.5359472111542424,0.28434658066551377,0.0846815579366518
22.88,1.3093436207523743,2.6172454018161395,-1.6894982055230008,0.4360790113641734,0.5359472111542424,0.4360790113641734,0.5359472111542424,0.28398483899536925,0.08700867169018264
22.9,1.3085350423886366,2.6116235555118013,-1.687758031684407,0.4360790113641734,0.5359472111542424,0.4360790113641734,0.5359472111542424,0.2839848360384226,0.0870086919296927
22.92,1.307736248219649,2.606000310684332,-1.6860178576563474,0.4330180486544421,0.5419878295398131,0.4330180486544421,0.5419878295398131,0.2839848346041524,0.08700870140296607
22.94,1.3069407531236412,2.6003934713347046,-1.6841701419640602,0.4330180486544421,0.5419878295398131,0.4330180486544421,0.5419878295398131,0.2831495185423402,0.09238578461435917
22.96,1.3061556191717099,2.594785171813069,-1.6823224255955653,0.4404235946220017,0.524032364595228,0.4404235946220017,0.524032364595228,0.2831495137151673,0.092385818424747
22.98,1.3053810734210574,2.589159840753922,-1.680569060618064,0.4404235946220017,0.524032364595228,0.4404235946220017,0.524032364595228,0.2839201940900773,0.08766824887506316
23.0,1.3046256342765226,2.583514943652362,-1.6789261134134408,0.4404235946220017,0.524032364595228,0.4404235946220017,0.524032364595228,0.28476109104078945,0.08214736023116795
23.02,1.303887527794382,2.577854877588894,-1.677367692619062,0.43771886752904793,0.530000687108809,0.43771886752904793,0.530000687108809,0.28539949641600754,0.07792103971894393
23.04,1.303152563251051,2.57220932248237,-1.6757143377274448,0.43771886752904793,0.530000687108809,0.43771886752904793,0.530000687108809,0.28465973257887917,0.08266774458085722
23.06,1.3024269337613528,2.566562560040148,-1.6740609821594157,0.4363582142616857,0.5327592085852573,0.4363582142616857,0.5327592085852573,0.2846597277242308,0.0826677784014591
23.08,1.301707636934279,2.5609225492726866,-1.6723593866731605,0.4363582142616857,0.5327592085852573,0.4363582142616857,0.5327592085852573,0.28428466975251393,0.08507977431275919
23.1,1.3009979381211119,2.55528132280104,-1.6706577906705598,0.4363582142616857,0.5327592085852573,0.4363582142616857,0.5327592085852573,0.28428466591519946,0.08507980013002572
23.12,1.3002978394043756,2.5496388969088035,-1.6689561944681701,0.43249458593441753,0.5417736401648516,0.43249458593441753,0.5417736401648516,0.2842846643883475,0.08507981011948344
23.14,1.2995978122674214,2.5440200959806076,-1.6671036462545423,0.43249458593441753,0.5417736401648516,0.43249458593441753,0.5417736401648516,0.28311200020119504,0.09262741068139155
23.16,1.2989081953506822,2.538400008006629,-1.6652510970858114,0.4311651759518523,0.5440014779876642,0.4311651759518523,0.5440014779876642,0.283111993419188,0.09262745843654693
23.18,1.2982262667950792,2.532785663851939,-1.6633558203689438,0.4311651759518523,0.5440014779876642,0.4311651759518523,0.5440014779876642,0.2827803336613551,0.09476383584338313
23.2,1.2975549801492896,2.52717003743162,-1.6614605430690657,0.428507372162099,0.5498470127746574,0.4311651759518523,0.5440014779876642,0.2827803292902472,0.09476386499390957
23.22,1.2968943378554467,2.521553148861032,-1.6595652655401012,0.428507372162099,0.5498470127746574,0.428507372162099,0.5498470127746574,0.282780327528358,0.09476387644822484
23.24,1.296237792537141,2.515951592681566,-1.657568760074695,0.428507372162099,0.5498470127746574,0.428507372162099,0.5498470127746574,0.28199505042954287,0.09982527327031744
23.26,1.2955924319924437,2.5103487370011264,-1.6555722537659343,0.42719884031575794,0.5521024633441132,0.42719884031575794,0.5521024633441132,0.2819950443202655,0.0998253154380135
23.28,1.294955429992575,2.5047516783689168,-1.6535324711384827,0.42719884031575794,0.5521024633441132,0.42719884031575794,0.5521024633441132,0.2816595324156017,0.101989131372584
23.3,1.2943298460436972,2.4991533321402204,-1.6514926878580936,0.42719884031575794,0.5521024633441132,0.42719884031575794,0.5521024633441132,0.2816595275037478,0.1019891640194581
23.32,1.2937156827860723,2.49355372153881,-1.6494529043590729,0.42393820363104434,0.5582479168467387,0.42393820363104434,0.5582479168467387,0.2816595258217183,0.10198917495103595
23.34,1.2931053504710404,2.4879715205061816,-1.6472987424450256,0.42393820363104434,0.5582479168467387,0.42393820363104434,0.5582479168467387,0.28077336903386163,0.10770809570236582
23.36,1.2925070444561473,2.482388017814271,-1.6451445795991833,0.4229020916539392,0.5588470787868275,0.4229020916539392,0.5588470787868275,0.28077336233174643,0.10770814229212006
23.38,1.2919193144029637,2.476806764797032,-1.6429687568392546,0.4229020916539392,0.5588470787868275,0.4229020916539392,0.5588470787868275,0.28060564792006554,0.10879113799643579
