t,x,y,yaw,v_ped,wz_ped,v_ent,wz_ent,v_real,wz_real
24.74,1.6628930987860795,3.059181342360626,-1.6772747331256865,0.49884900294714574,0.20179056182233546,0.49884900294714574,0.20179056182233546,0.3001766096828133,-0.1485376820129534
24.76,1.6624530517526244,3.0528938991715666,-1.6802290477983668,0.49851034604149685,0.2152364962001043,0.49851034604149685,0.2152364962001043,0.3151411717282124,-0.14771573363398982
24.78,1.661975317995796,3.0466010774839303,-1.6829240884267727,0.49851034604149685,0.2152364962001043,0.49851034604149685,0.2152364962001043,0.3155464876004858,-0.1347520314202961
24.8,1.6614635005726877,3.040292784846641,-1.685438086740372,0.49851034604149685,0.2152364962001043,0.49851034604149685,0.2152364962001043,0.3164510747030135,-0.12569991567996922
24.82,1.660929122246799,3.033975389360276,-1.6878814755405689,0.4982403158897478,0.22439492335901984,0.4982403158897478,0.22439492335901984,0.31699781515937786,-0.1221694400098476
24.84,1.6603740399270484,3.027675013776978,-1.6902301930212638,0.4982403158897478,0.22439492335901984,0.4982403158897478,0.22439492335901984,0.31623902697293765,-0.11743587403474615
24.86,1.6598030630903546,3.02137806181914,-1.6925662190718134,0.4978774325378484,0.23517051854014387,0.4978774325378484,0.23517051854014387,0.31613928302001915,-0.11680130252748304
24.88,1.659211529066316,3.015100425331288,-1.6947940687949927,0.4978774325378484,0.23517051854014387,0.4978774325378484,0.23517051854014387,0.3152722330590207,-0.11139248615897006
24.9,1.6586044790231969,3.0088270902306826,-1.6970040307485612,0.4978774325378484,0.23517051854014387,0.4978774325378484,0.23517051854014387,0.31513188921203483,-0.11049809767842658
24.92,1.6579835666391243,3.002555112006257,-1.6992139926743106,0.4975701912561783,0.2432605373980746,0.4975701912561783,0.2432605373980746,0.3151318892001965,-0.11049809628745293
24.94,1.6573441735215904,2.9962986873425037,-1.701338839680138,0.4975701912561783,0.2432605373980746,0.4975701912561783,0.2432605373980746,0.3144506047536298,-0.10624235029137678
24.96,1.6566906777417856,2.9900451956163177,-1.703454302418143,0.49715805681995184,0.25298654931156933,0.49715805681995184,0.25298654931156933,0.3143772236649063,-0.10577313690024684
24.98,1.6560187006049325,2.9838096861176964,-1.705470258825032,0.49715805681995184,0.25298654931156933,0.49715805681995184,0.25298654931156933,0.3135806593998232,-0.100797820344447
25.0,1.65533296408909,2.9775778716278,-1.7074722338953214,0.49682824072284165,0.2600342782056085,0.49715805681995184,0.25298654931156933,0.3134714755988404,-0.10009875351447917
25.02,1.6546347530157548,2.9713474424531428,-1.709474208937377,0.49682824072284165,0.2600342782056085,0.49682824072284165,0.2600342782056085,0.3134714755896773,-0.10009875210277511
25.04,1.6539200679369832,2.965131013802509,-1.7114007939604698,0.49682824072284165,0.2600342782056085,0.49682824072284165,0.2600342782056085,0.31286882207341365,-0.09632925115464969
25.06,1.6531928235764346,2.958917106244656,-1.7133205874921356,0.49638230205143535,0.26873844619090353,0.49638230205143535,0.26873844619090353,0.31281596625448155,-0.09598967658328778
25.08,1.6524489697209985,2.9527197664372458,-1.7151497212492761,0.49638230205143535,0.26873844619090353,0.49638230205143535,0.26873844619090353,0.31209108945451663,-0.0914566878570297
25.1,1.6516928643401125,2.9465256024554183,-1.71696804601709,0.49638230205143535,0.26873844619090353,0.49638230205143535,0.26873844619090353,0.312007062342992,-0.0909162383906783
25.12,1.6509254972109377,2.9403328235583737,-1.718786370757338,0.4964204165940968,0.2680269500089606,0.4964204165940968,0.2680269500089606,0.3120070623344156,-0.09091623701240807
25.14,1.6501473212270215,2.9341400611915645,-1.720612989440839,0.4964204165940968,0.2680269500089606,0.4964204165940968,0.2680269500089606,0.3120731628709611,-0.09133093417505095
25.16,1.6493578347317568,2.927948730582041,-1.7224396081258155,0.49595633582294363,0.2763318571032992,0.49595633582294363,0.2763318571032992,0.31207316306689503,-0.09133093424882527
25.18,1.6485526467622775,2.9217734862378775,-1.7241789707449549,0.49595633582294363,0.2763318571032992,0.49595633582294363,0.2763318571032992,0.31137585959864367,-0.08696813095696773
25.2,1.6477359167404984,2.915601253035391,-1.7259087695382491,0.49549657258015817,0.2838831850837828,0.49595633582294363,0.2763318571032992,0.3113017452342414,-0.08648993966471527
25.22,1.646908511221754,2.909430441845614,-1.7276385683039213,0.49549657258015817,0.2838831850837828,0.49549657258015817,0.2838831850837828,0.31130174522611037,-0.0864899382836089
25.24,1.646066433394826,2.9032745686912147,-1.729288015059223,0.49549657258015817,0.2838831850837828,0.49549657258015817,0.2838831850837828,0.3106600608368312,-0.08247233776508443
25.26,1.6452135509668055,2.8971213872464623,-1.7309297424002088,0.49490629362003247,0.2927748670486391,0.49490629362003247,0.2927748670486391,0.3106004279136598,-0.08208636704928156
25.28,1.6443460456348862,2.8909852023264757,-1.7324787707917453,0.49490629362003247,0.2927748670486391,0.49490629362003247,0.2927748670486391,0.3098601735992415,-0.07745141957682553
25.3,1.6434681331068535,2.884852230394826,-1.7340167060079883,0.4944918066307407,0.2985675948011867,0.4944918066307407,0.2985675948011867,0.3097744143779606,-0.07689676081215233
25.32,1.6425807895048161,2.8787206158886818,-1.7355546411986953,0.4944918066307407,0.2985675948011867,0.4944918066307407,0.2985675948011867,0.30977441437292214,-0.07689675953535144
25.34,1.6416808782493812,2.8726010689261923,-1.7370290535830692,0.4944918066307407,0.2985675948011867,0.4944918066307407,0.2985675948011867,0.30926806856582595,-0.07372061921869945
25.36,1.6407715964173175,2.8664835561911803,-1.738499295635924,0.49394095403069815,0.3057816768215733,0.49394095403069815,0.3057816768215733,0.30923597588716933,-0.07351210264273812
25.38,1.6398495777178506,2.8603804526101047,-1.7398920110448897,0.49394095403069815,0.3057816768215733,0.49394095403069815,0.3057816768215733,0.3086178535159106,-0.06963577044828566
25.4,1.638918495946111,2.8542797970627007,-1.7412778406164222,0.49394095403069815,0.3057816768215733,0.49394095403069815,0.3057816768215733,0.3085648690864593,-0.0692914785766289
25.42,1.637978960600046,2.848180437694214,-1.7426636701643625,0.49336003393343036,0.31287652801097876,0.49336003393343036,0.31287652801097876,0.3085648690812081,-0.06929147739700464
25.44,1.6370273199576153,2.8420953059109797,-1.7439729333200056,0.49336003393343036,0.31287652801097876,0.49336003393343036,0.31287652801097876,0.30795473990367084,-0.06546315778215435
25.46,1.6360671797663981,2.8360125360369826,-1.7452755989691369,0.4936709713173651,0.3091394839332638,0.4936709713173651,0.3091394839332638,0.30790403751331075,-0.06513328245656563
25.48,1.6351013044799898,2.829923623189412,-1.7466220890052593,0.4936709713173651,0.3091394839332638,0.4936709713173651,0.3091394839332638,0.30825222924662404,-0.06732450180612225
25.5,1.6341272314207222,2.8238360163795924,-1.7479685791700772,0.4936709713173651,0.3091394839332638,0.4936709713173651,0.3091394839332638,0.30825223030724125,-0.06732450824089718
25.52,1.6331449623419751,2.817749726668052,-1.7493150693110693,0.4930795232189796,0.31613728947458514,0.4930795232189796,0.31613728947458514,0.30825223030769056,-0.06732450704960567
25.54,1.6321509611213074,2.8116775749939564,-1.750585791812126,0.4930795232189796,0.31613728947458514,0.4930795232189796,0.31613728947458514,0.30764859978517833,-0.06353612505283349
25.56,1.6311487407474092,2.8056077599565965,-1.7518501784333564,0.49245978218749015,0.3230057422433282,0.49245978218749015,0.3230057422433282,0.3075999848245239,-0.06321933106152725
25.58,1.630135379379316,2.7995518589994592,-1.7530398433097658,0.49245978218749015,0.3230057422433282,0.49245978218749015,0.3230057422433282,0.30700503931125156,-0.059483243820469704
25.6,1.6291143388796654,2.793498187980908,-1.754223463847007,0.4918061338424945,0.32980731230199944,0.49245978218749015,0.3230057422433282,0.3069586963369821,-0.0591810268620448
25.62,1.628086133845584,2.7874457297274526,-1.7554070843634049,0.4918061338424945,0.32980731230199944,0.4918061338424945,0.32980731230199944,0.30695869633362,-0.05918102581990008
25.64,1.6270473538721288,2.7814070746232233,-1.7565164127247144,0.4918061338424945,0.32980731230199944,0.4918061338424945,0.32980731230199944,0.30636750521672423,-0.05546641806547632
25.66,1.6260014204747815,2.7753705709672345,-1.7576198484004926,0.4911704909388787,0.33604338624640223,0.4911704909388787,0.33604338624640223,0.30632235088406023,-0.05517178378891103
25.68,1.6249456801484248,2.7693468908954157,-1.7586544417036514,0.4911704909388787,0.33604338624640223,0.4911704909388787,0.33604338624640223,0.3057748732496003,-0.051729665157941286
25.7,1.6238833261172945,2.763325131212974,-1.7596841541062604,0.4911704909388787,0.33604338624640223,0.4911704909388787,0.33604338624640223,0.3057375744022279,-0.051485620130454754
25.72,1.6228147719680877,2.757304468642236,-1.7607138664904374,0.49043603054797247,0.34284476299586625,0.49043603054797247,0.34284476299586625,0.3057375744019335,-0.05148561920884752
25.74,1.621736641978256,2.7512975867997973,-1.7616688331090704,0.49043603054797247,0.34284476299586625,0.49043603054797247,0.34284476299586625,0.3051433832807009,-0.04774833093165278
25.76,1.620652333401045,2.745292737446562,-1.7626178863405253,0.489532227934623,0.35069897065609656,0.489532227934623,0.35069897065609656,0.3050981024426849,-0.047452661572737
25.78,1.6195585422415477,2.739303371698564,-1.7634817781546832,0.489532227934623,0.35069897065609656,0.489532227934623,0.35069897065609656,0.30442109471868556,-0.04319459070789659
25.8,1.6184589621494103,2.73331636665211,-1.7643373167948069,0.489532227934623,0.35069897065609656,0.489532227934623,0.35069897065609656,0.30435713317291174,-0.042776932006184175
25.82,1.6173542603447284,2.727330304530218,-1.765192855419806,0.48917969287992585,0.35362558827350765,0.48917969287992585,0.35362558827350765,0.30435713316930557,-0.04277693124995576
25.84,1.6162428743497637,2.7213510072175913,-1.7660141290730955,0.48917969287992585,0.35362558827350765,0.48917969287992585,0.35362558827350765,0.30408541227175323,-0.04106368266447812
25.86,1.6151265114293667,2.7153727417380633,-1.7668347112384795,0.48971894278811706,0.34911906156700157,0.48971894278811706,0.34911906156700157,0.3040802702978049,-0.04102910826919802
25.88,1.614007736928755,2.709386256430064,-1.7677090946461613,0.48971894278811706,0.34911906156700157,0.48971894278811706,0.34911906156700157,0.3045064150642405,-0.04371917038409428
25.9,1.6128837283854842,2.7034007516197,-1.7685834782192158,0.48971894278811706,0.34911906156700157,0.48971894278811706,0.34911906156700157,0.3045064163537408,-0.0437191786527245
25.92,1.6117544866440061,2.6974162319122548,-1.769457861776692,0.48891233360006575,0.35579806195147445,0.48891233360006575,0.35579806195147445,0.3045064163506492,-0.04371917787380646
25.94,1.6106167590862128,2.691445299342066,-1.77025814536035,0.48891233360006575,0.35579806195147445,0.48891233360006575,0.35579806195147445,0.30391799779506146,-0.04001417918290203
