t,fonte,key,mux,roda
56.9893,key,0.0,0.0,0.0
56.9897,mux,0.0,0.0,0.0
57.0391,key,0.0,0.0,0.0
57.0394,mux,0.0,0.0,0.0
57.0808,roda,0.0,0.0,0.0
57.0891,key,0.0,0.0,0.0
57.0895,mux,0.0,0.0,0.0
57.1392,key,0.0,0.0,0.0
57.1396,mux,0.0,0.0,0.0
57.1807,roda,0.0,0.0,0.0
57.1891,key,0.0,0.0,0.0
57.1893,mux,0.0,0.0,0.0
57.2392,key,0.0,0.0,0.0
57.2396,mux,0.0,0.0,0.0
57.2807,roda,0.0,0.0,0.0
57.289,key,0.0,0.0,0.0
57.2894,mux,0.0,0.0,0.0
57.3391,key,0.0,0.0,0.0
57.3395,mux,0.0,0.0,0.0
57.3807,roda,0.0,0.0,0.0
57.3892,key,0.0,0.0,0.0
57.3896,mux,0.0,0.0,0.0
57.4393,key,0.0,0.0,0.0
57.4398,mux,0.0,0.0,0.0
57.4807,roda,0.0,0.0,0.0
57.4891,key,0.0,0.0,0.0
57.4894,mux,0.0,0.0,0.0
57.5391,key,0.0,0.0,0.0
57.5395,mux,0.0,0.0,0.0
57.5809,roda,0.0,0.0,0.0
57.5893,key,0.0,0.0,0.0
57.5897,mux,0.0,0.0,0.0
57.6391,key,0.0,0.0,0.0
57.6395,mux,0.0,0.0,0.0
57.6809,roda,0.0,0.0,0.0
57.6892,key,0.0,0.0,0.0
57.6896,mux,0.0,0.0,0.0
57.7391,key,0.0,0.0,0.0
57.7394,mux,0.0,0.0,0.0
57.7809,roda,0.0,0.0,0.0
57.7891,key,0.0,0.0,0.0
57.7895,mux,0.0,0.0,0.0
57.8391,key,0.0,0.0,0.0
57.8394,mux,0.0,0.0,0.0
57.8807,roda,0.0,0.0,0.0
57.8891,key,0.0,0.0,0.0
57.8893,mux,0.0,0.0,0.0
57.9391,key,0.0,0.0,0.0
57.9395,mux,0.0,0.0,0.0
57.9807,roda,0.0,0.0,0.0
57.9891,key,0.0,0.0,0.0
57.9893,mux,0.0,0.0,0.0
58.0392,key,0.0,0.0,0.0
58.0396,mux,0.0,0.0,0.0
58.0807,roda,0.0,0.0,0.0
58.0891,key,0.0,0.0,0.0
58.0894,mux,0.0,0.0,0.0
58.1391,key,0.0,0.0,0.0
58.1394,mux,0.0,0.0,0.0
58.1809,roda,0.0,0.0,0.0
58.1891,key,0.0,0.0,0.0
58.1895,mux,0.0,0.0,0.0
58.2391,key,0.0,0.0,0.0
58.2395,mux,0.0,0.0,0.0
58.2807,roda,0.0,0.0,0.0
58.2891,key,0.0,0.0,0.0
58.2894,mux,0.0,0.0,0.0
58.3392,key,0.0,0.0,0.0
58.3397,mux,0.0,0.0,0.0
58.3808,roda,0.0,0.0,0.0
58.3891,key,0.0,0.0,0.0
58.3893,mux,0.0,0.0,0.0
58.4391,key,0.0,0.0,0.0
58.4394,mux,0.0,0.0,0.0
58.4808,roda,0.0,0.0,0.0
58.489,key,0.0,0.0,0.0
58.4893,mux,0.0,0.0,0.0
58.5391,key,0.0,0.0,0.0
58.5394,mux,0.0,0.0,0.0
58.5808,roda,0.0,0.0,0.0
58.589,key,0.0,0.0,0.0
58.5893,mux,0.0,0.0,0.0
58.6391,key,0.0,0.0,0.0
58.6395,mux,0.0,0.0,0.0
58.6807,roda,0.0,0.0,0.0
58.6891,key,0.0,0.0,0.0
58.6895,mux,0.0,0.0,0.0
58.7391,key,0.0,0.0,0.0
58.7394,mux,0.0,0.0,0.0
58.7807,roda,0.0,0.0,0.0
58.7891,key,0.0,0.0,0.0
58.7894,mux,0.0,0.0,0.0
58.8391,key,0.0,0.0,0.0
58.8395,mux,0.0,0.0,0.0
58.8807,roda,0.0,0.0,0.0
58.8891,key,0.0,0.0,0.0
58.8896,mux,0.0,0.0,0.0
58.9391,key,0.0,0.0,0.0
58.9394,mux,0.0,0.0,0.0
58.9807,roda,0.0,0.0,0.0
58.989,key,0.0,0.0,0.0
58.9893,mux,0.0,0.0,0.0
59.0391,key,0.0,0.0,0.0
59.0395,mux,0.0,0.0,0.0
59.0808,roda,0.0,0.0,0.0
59.089,key,0.0,0.0,0.0
59.0893,mux,0.0,0.0,0.0
59.1391,key,0.0,0.0,0.0
59.1395,mux,0.0,0.0,0.0
59.1807,roda,0.0,0.0,0.0
59.1891,key,0.0,0.0,0.0
59.1893,mux,0.0,0.0,0.0
59.2391,key,0.0,0.0,0.0
59.2394,mux,0.0,0.0,0.0
59.2807,roda,0.0,0.0,0.0
59.2891,key,0.0,0.0,0.0
59.2893,mux,0.0,0.0,0.0
59.3391,key,0.0,0.0,0.0
59.3394,mux,0.0,0.0,0.0
59.3808,roda,0.0,0.0,0.0
59.389,key,0.0,0.0,0.0
59.3893,mux,0.0,0.0,0.0
59.4392,key,0.0,0.0,0.0
59.4396,mux,0.0,0.0,0.0
