i,angulo,alcance,x,y,ate_parede
213,0.576,2.199,2.382,1.185,0.0
214,0.5934,2.17,2.342,1.211,0.0
215,0.6109,2.154,2.313,1.24,0.0
216,0.6283,2.138,2.284,1.268,0.05
217,0.6458,2.104,2.237,1.288,0.071
218,0.6632,2.109,2.227,1.324,0.112
219,0.6807,2.105,2.207,1.355,0.141
220,0.6981,1.951,2.054,1.317,0.158
221,0.7156,1.933,2.022,1.339,0.141
222,0.733,1.859,1.941,1.332,0.112
223,0.7505,1.777,1.854,1.319,0.05
224,0.7679,1.762,1.825,1.338,0.05
225,0.7854,1.744,1.794,1.354,0.05
226,0.8029,1.712,1.751,1.363,0.0
227,0.8203,1.713,1.735,1.388,0.0
228,0.8378,1.718,1.722,1.416,0.0
229,0.8552,1.713,1.7,1.437,0.05
230,0.8727,1.73,1.696,1.471,0.05
231,0.8901,1.796,1.729,1.536,0.15
232,0.9076,1.814,1.723,1.571,0.15
233,0.925,1.827,1.713,1.604,0.112
234,0.9425,1.831,1.695,1.631,0.112
235,0.9599,1.842,1.683,1.663,0.112
236,0.9774,1.844,1.662,1.687,0.1
237,0.9948,1.843,1.639,1.71,0.1
238,1.0123,1.851,1.622,1.738,0.158
239,1.0297,1.771,1.543,1.703,0.2
240,1.0472,1.757,1.511,1.714,0.25
241,1.0647,1.756,1.488,1.734,0.25
242,1.0821,1.809,1.5,1.794,0.255
243,1.0996,1.843,1.497,1.841,0.269
244,1.117,1.829,1.463,1.85,0.224
245,1.1345,1.847,1.45,1.884,0.25
246,1.1519,1.821,1.408,1.883,0.212
247,1.1694,1.817,1.38,1.898,0.18
248,1.1868,1.813,1.352,1.914,0.18
249,1.2043,1.858,1.351,1.969,0.224
250,1.2217,1.812,1.299,1.948,0.206
251,1.2392,1.901,1.319,2.04,0.304
252,1.2566,1.836,1.257,2.002,0.25
253,1.2741,1.83,1.227,2.013,0.255
254,1.2915,1.821,1.194,2.02,0.255
255,1.309,1.808,1.16,2.023,0.25
256,1.3265,1.804,1.13,2.034,0.292
257,1.3439,1.786,1.094,2.032,0.292
258,1.3614,1.783,1.065,2.043,0.25
259,1.3788,1.779,1.035,2.052,0.212
260,1.3963,1.768,1.002,2.054,0.212
261,1.4137,1.761,0.971,2.059,0.18
262,1.4312,1.757,0.941,2.066,0.18
263,1.4486,1.758,0.913,2.078,0.158
264,1.4661,1.747,0.88,2.077,0.15
265,1.4835,1.745,0.851,2.086,0.1
266,1.501,1.749,0.823,2.098,0.1
267,1.5184,1.744,0.792,2.102,0.1
268,1.5359,1.74,0.761,2.105,0.112
269,1.5533,1.744,0.733,2.118,0.141
270,1.5708,2.279,0.821,2.646,0.45
271,1.5882,2.372,0.801,2.745,
272,1.6057,2.386,0.763,2.767,
273,1.6232,2.391,0.723,2.779,
274,1.6406,2.395,0.683,2.791,
275,1.6581,2.399,0.642,2.8,
276,1.6755,2.41,0.601,2.816,
277,1.693,2.401,0.559,2.812,
278,1.7104,2.409,0.518,2.824,
279,1.7279,2.426,0.477,2.844,
280,1.7453,2.435,0.435,2.856,
281,1.7628,2.442,0.393,2.864,
282,1.7802,2.448,0.35,2.871,
283,1.7977,2.461,0.307,2.884,
284,1.8151,2.468,0.264,2.89,
285,1.8326,2.318,0.227,2.739,0.427
286,1.85,2.15,0.196,2.569,0.25
287,1.8675,2.001,0.17,2.419,0.112
288,1.885,1.893,0.145,2.308,0.071
289,1.9024,1.856,0.116,2.268,0.0
290,1.9199,1.86,0.084,2.268,0.0
291,1.9373,1.867,0.051,2.271,0.0
292,1.9548,1.874,0.017,2.273,0.0
293,1.9722,1.888,-0.018,2.281,0.05
294,1.9897,1.642,-0.002,2.034,0.2
295,2.0071,1.543,-0.009,1.931,0.158
296,2.0246,1.468,-0.018,1.852,0.2
297,2.042,1.529,-0.058,1.905,0.206
298,2.0595,1.408,-0.052,1.781,0.2
299,2.0769,1.38,-0.067,1.747,0.25
300,2.0944,1.371,-0.088,1.732,0.25
301,2.1118,1.366,-0.109,1.72,0.25
302,2.1293,1.379,-0.136,1.725,0.269
303,2.1468,1.377,-0.158,1.715,0.269
304,2.1642,1.393,-0.186,1.721,0.224
305,2.1817,1.403,-0.212,1.721,0.224
306,2.1991,1.41,-0.238,1.718,0.18
307,2.2166,1.414,-0.262,1.712,0.18
308,2.234,1.414,-0.284,1.701,0.141
309,2.2515,1.428,-0.313,1.703,0.141
310,2.2689,1.437,-0.339,1.7,0.112
311,2.2864,1.461,-0.373,1.71,0.071
312,2.3038,1.47,-0.399,1.705,0.071
313,2.3213,1.5,-0.437,1.718,0.05
314,2.3387,1.723,-0.575,1.896,0.141
315,2.3562,1.797,-0.64,1.942,0.2
316,2.3736,1.767,-0.65,1.9,0.15
317,2.3911,1.732,-0.656,1.854,0.1
318,2.4086,2.113,-0.901,2.148,0.45
319,2.426,1.703,-0.688,1.796,0.071
320,2.4435,1.693,-0.706,1.77,0.05
321,2.4609,1.699,-0.733,1.756,0.1
322,2.4784,1.705,-0.76,1.743,0.1
323,2.4958,2.002,-0.975,1.95,0.391
324,2.5133,1.703,-0.804,1.703,0.071
325,2.5307,1.706,-0.828,1.685,0.112
326,2.5482,1.705,-0.85,1.665,0.071
327,2.5656,1.707,-0.872,1.645,0.112
328,2.5831,1.91,-1.038,1.767,0.255
329,2.6005,1.707,-0.914,1.603,0.15
330,2.618,1.574,-0.837,1.491,0.112
331,2.6354,1.498,-0.798,1.42,0.05
332,2.6529,1.462,-0.789,1.377,0.05
333,2.6704,1.854,-1.106,1.608,0.1
334,2.6878,1.408,-0.779,1.304,0.05
335,2.7053,1.391,-0.781,1.274,0.0
336,2.7227,1.724,-1.062,1.454,0.071
337,2.7402,1.379,-0.8,1.228,0.0
338,2.7576,1.363,-0.801,1.199,0.0
339,2.7751,1.351,-0.804,1.173,0.0
340,2.7925,1.747,-1.15,1.367,0.05
341,2.81,1.332,-0.814,1.124,0.05
342,2.8274,1.334,-0.828,1.105,0.0
343,2.8449,1.334,-0.839,1.084,0.0
344,2.8623,1.329,-0.846,1.061,0.05
345,2.8798,1.343,-0.869,1.048,0.05
346,2.8972,1.31,-0.851,1.012,0.1
347,2.9147,1.584,-1.107,1.11,0.05
348,2.9322,1.308,-0.869,0.97,0.15
349,2.9496,1.297,-0.868,0.945,0.15
350,2.9671,1.288,-0.869,0.92,0.2
351,2.9845,1.638,-1.203,1.029,0.0
352,3.002,1.286,-0.884,0.878,0.25
353,3.0194,1.281,-0.886,0.855,0.25
354,3.0369,1.286,-0.898,0.836,0.25
355,3.0543,1.323,-0.941,0.826,0.206
356,3.0718,1.279,-0.906,0.791,0.255
357,3.0892,1.279,-0.912,0.77,0.269
358,3.1067,1.279,-0.918,0.748,0.224
359,3.1241,1.321,-0.964,0.736,0.18
