i,angulo,alcance,x,y,ate_parede
268,1.5359,2.285,-0.154,2.442,0.071
269,1.5533,2.303,-0.194,2.459,0.05
270,1.5708,2.304,-0.234,2.458,0.05
271,1.5882,2.345,-0.277,2.497,0.1
272,1.6057,2.314,-0.315,2.464,0.05
273,1.6232,2.312,-0.355,2.457,0.05
274,1.6406,2.318,-0.396,2.459,0.05
275,1.6581,2.346,-0.44,2.482,0.1
276,1.6755,2.324,-0.477,2.454,0.071
277,1.693,2.338,-0.52,2.462,0.112
278,1.7104,2.332,-0.559,2.449,0.112
279,1.7279,2.339,-0.6,2.447,0.158
280,1.7453,2.356,-0.644,2.456,0.206
281,1.7628,2.428,-0.701,2.517,0.269
282,1.7802,2.429,-0.742,2.507,0.316
283,1.7977,2.373,-0.768,2.442,0.354
284,1.8151,2.138,-0.74,2.205,0.304
285,1.8326,2.015,-0.739,2.077,0.3
286,1.85,1.895,-0.734,1.952,0.224
287,1.8675,1.853,-0.751,1.902,0.18
288,1.885,1.854,-0.782,1.892,0.212
289,1.9024,1.86,-0.815,1.886,0.25
290,1.9199,1.865,-0.847,1.879,0.224
291,1.9373,1.884,-0.884,1.883,0.292
292,1.9548,1.597,-0.795,1.609,0.0
293,1.9722,1.547,-0.798,1.552,0.05
294,1.9897,1.488,-0.796,1.487,0.1
295,2.0071,1.442,-0.798,1.434,0.071
296,2.0246,1.411,-0.805,1.395,0.05
297,2.042,1.379,-0.811,1.355,0.05
298,2.0595,1.374,-0.829,1.34,0.1
299,2.0769,1.37,-0.848,1.323,0.071
300,2.0944,1.372,-0.869,1.312,0.1
301,2.1118,1.373,-0.889,1.3,0.1
302,2.1293,1.385,-0.916,1.296,0.1
303,2.1468,1.397,-0.943,1.293,0.1
304,2.1642,1.401,-0.965,1.281,0.1
305,2.1817,1.418,-0.995,1.28,0.071
306,2.1991,1.429,-1.021,1.273,0.071
307,2.2166,1.432,-1.043,1.26,0.071
308,2.234,1.46,-1.08,1.265,0.05
309,2.2515,1.462,-1.101,1.25,0.05
310,2.2689,1.47,-1.124,1.238,0.0
311,2.2864,1.519,-1.178,1.257,0.0
312,2.3038,1.547,-1.216,1.258,0.0
313,2.3213,1.795,-1.412,1.413,0.05
314,2.3387,1.759,-1.407,1.365,0.0
315,2.3562,2.299,-1.828,1.707,0.25
316,2.3736,1.734,-1.431,1.303,0.0
317,2.3911,1.743,-1.457,1.286,0.0
318,2.4086,1.738,-1.473,1.26,0.05
319,2.426,1.633,-1.41,1.171,0.05
320,2.4435,1.763,-1.53,1.227,0.0
321,2.4609,1.592,-1.411,1.101,0.0
322,2.4784,1.561,-1.402,1.061,0.05
323,2.4958,1.534,-1.396,1.023,0.05
324,2.5133,1.546,-1.42,1.008,0.071
325,2.5307,1.499,-1.396,0.96,0.0
326,2.5482,1.522,-1.428,0.949,0.05
327,2.5656,1.478,-1.404,0.904,0.05
328,2.5831,1.459,-1.401,0.873,0.05
329,2.6005,1.433,-1.39,0.838,0.05
330,2.618,1.432,-1.401,0.815,0.0
331,2.6354,1.419,-1.401,0.788,0.0
332,2.6529,1.416,-1.409,0.764,0.05
333,2.6704,1.394,-1.399,0.732,0.05
334,2.6878,1.38,-1.396,0.705,0.05
335,2.7053,1.366,-1.393,0.677,0.071
336,2.7227,1.366,-1.402,0.655,0.071
337,2.7402,1.355,-1.4,0.629,0.05
338,2.7576,1.347,-1.401,0.604,0.05
339,2.7751,1.319,-1.381,0.573,0.071
340,2.7925,1.326,-1.395,0.553,0.071
341,2.81,1.324,-1.4,0.53,0.05
342,2.8274,1.327,-1.409,0.509,0.05
343,2.8449,1.314,-1.402,0.483,0.05
344,2.8623,1.317,-1.411,0.462,0.0
345,2.8798,1.312,-1.411,0.438,0.0
346,2.8972,1.301,-1.406,0.414,0.0
347,2.9147,1.379,-1.486,0.405,0.0
348,2.9322,1.298,-1.41,0.368,0.05
349,2.9496,1.294,-1.41,0.346,0.05
350,2.9671,1.288,-1.407,0.322,0.0
351,2.9845,1.424,-1.544,0.315,0.1
352,3.002,1.279,-1.403,0.277,0.0
353,3.0194,1.272,-1.398,0.254,0.0
354,3.0369,1.273,-1.401,0.232,0.0
355,3.0543,1.388,-1.516,0.215,0.158
356,3.0718,1.269,-1.398,0.188,0.05
357,3.0892,1.265,-1.395,0.165,0.1
358,3.1067,1.264,-1.394,0.143,0.1
359,3.1241,1.416,-1.545,0.117,0.071
