i,angulo,alcance,x,y,ate_parede
215,0.6109,2.171,1.878,1.079,0.05
216,0.6283,2.102,1.799,1.075,0.05
217,0.6458,2.099,1.777,1.105,0.05
218,0.6632,2.114,1.77,1.144,0.0
219,0.6807,2.119,1.753,1.178,0.0
220,0.6981,2.142,1.751,1.221,0.0
221,0.7156,1.934,1.562,1.127,0.0
222,0.733,1.84,1.467,1.097,0.0
223,0.7505,1.777,1.398,1.084,0.0
224,0.7679,1.748,1.356,1.089,0.0
225,0.7854,1.723,1.317,1.096,0.0
226,0.8029,1.719,1.295,1.116,0.0
227,0.8203,1.733,1.285,1.148,0.0
228,0.8378,1.704,1.243,1.15,0.0
229,0.8552,1.819,1.304,1.252,0.0
230,0.8727,1.733,1.222,1.213,0.05
231,0.8901,1.804,1.249,1.286,0.0
232,0.9076,1.812,1.231,1.313,0.0
233,0.925,1.832,1.221,1.349,0.0
234,0.9425,1.858,1.213,1.39,0.0
235,0.9599,1.89,1.209,1.435,0.0
236,0.9774,1.915,1.199,1.476,0.0
237,0.9948,2.168,1.327,1.697,0.071
238,1.0123,1.92,1.149,1.52,0.0
239,1.0297,1.776,1.038,1.423,0.0
240,1.0472,1.755,1.001,1.423,0.0
241,1.0647,1.751,0.973,1.437,0.0
242,1.0821,1.812,0.98,1.505,0.05
243,1.0996,1.867,0.982,1.569,0.0
244,1.117,1.937,0.99,1.646,0.071
245,1.1345,1.992,0.988,1.711,0.05
246,1.1519,1.931,0.928,1.674,0.05
247,1.1694,1.935,0.9,1.693,0.0
248,1.1868,1.939,0.872,1.712,0.05
249,1.2043,1.931,0.838,1.72,0.05
250,1.2217,1.999,0.836,1.796,0.05
251,1.2392,1.951,0.785,1.765,0.0
252,1.2566,1.84,0.711,1.677,0.05
253,1.2741,1.831,0.678,1.68,0.05
254,1.2915,1.815,0.642,1.677,0.05
255,1.309,1.808,0.61,1.681,0.0
256,1.3265,1.801,0.578,1.685,0.0
257,1.3439,1.789,0.545,1.682,0.0
258,1.3614,1.783,0.513,1.686,0.0
259,1.3788,1.774,0.481,1.686,0.0
260,1.3963,1.763,0.448,1.683,0.0
261,1.4137,1.763,0.418,1.691,0.0
262,1.4312,1.757,0.387,1.692,0.0
263,1.4486,1.756,0.357,1.697,0.0
264,1.4661,1.747,0.325,1.694,0.0
265,1.4835,1.743,0.295,1.696,0.0
266,1.501,1.748,0.265,1.705,0.0
267,1.5184,1.744,0.234,1.706,0.0
268,1.5359,1.741,0.204,1.706,0.0
269,1.5533,1.746,0.174,1.715,0.0
270,1.5708,2.367,0.192,2.336,0.141
271,1.5882,2.31,0.148,2.283,0.071
272,1.6057,2.306,0.107,2.28,0.0
273,1.6232,2.305,0.067,2.281,0.0
274,1.6406,2.371,0.027,2.347,0.0
275,1.6581,2.312,-0.014,2.288,0.0
276,1.6755,2.312,-0.054,2.288,0.05
277,1.693,2.319,-0.095,2.293,0.0
278,1.7104,2.396,-0.14,2.368,0.0
279,1.7279,2.328,-0.176,2.297,0.0
280,1.7453,2.341,-0.218,2.307,0.0
281,1.7628,2.41,-0.266,2.371,0.0
282,1.7802,2.348,-0.3,2.305,0.0
283,1.7977,2.42,-0.351,2.37,0.0
284,1.8151,2.438,-0.396,2.381,0.0
285,1.8326,2.263,-0.406,2.202,0.0
286,1.85,2.134,-0.419,2.067,0.0
287,1.8675,2.001,-0.426,1.93,0.0
288,1.885,1.887,-0.434,1.811,0.0
289,1.9024,1.854,-0.457,1.771,0.0
290,1.9199,1.858,-0.49,1.766,0.0
291,1.9373,1.864,-0.523,1.763,0.0
292,1.9548,1.875,-0.557,1.764,0.0
293,1.9722,1.887,-0.592,1.765,0.0
294,1.9897,1.883,-0.622,1.751,0.0
295,2.0071,1.572,-0.544,1.448,0.0
296,2.0246,1.496,-0.541,1.367,0.0
297,2.042,1.516,-0.573,1.377,0.0
298,2.0595,1.418,-0.559,1.277,0.0
299,2.0769,1.387,-0.568,1.238,0.0
300,2.0944,1.366,-0.581,1.209,0.0
301,2.1118,1.378,-0.608,1.209,0.0
302,2.1293,1.376,-0.628,1.197,0.0
303,2.1468,1.382,-0.652,1.19,0.0
304,2.1642,1.373,-0.669,1.171,0.0
305,2.1817,1.398,-0.702,1.18,0.0
306,2.1991,1.406,-0.727,1.174,0.0
307,2.2166,1.422,-0.757,1.175,0.0
308,2.234,1.419,-0.776,1.159,0.0
309,2.2515,1.436,-0.807,1.16,0.0
310,2.2689,1.453,-0.837,1.159,0.0
311,2.2864,1.473,-0.869,1.16,0.0
312,2.3038,1.486,-0.897,1.155,0.0
313,2.3213,1.563,-0.966,1.199,0.05
314,2.3387,1.921,-1.215,1.458,0.05
315,2.3562,1.797,-1.16,1.342,0.05
316,2.3736,1.772,-1.167,1.303,0.0
317,2.3911,1.759,-1.181,1.272,0.0
318,2.4086,2.187,-1.498,1.561,0.1
319,2.426,1.768,-1.232,1.237,0.0
320,2.4435,1.729,-1.226,1.187,0.05
321,2.4609,1.638,-1.181,1.103,0.0
322,2.4784,1.781,-1.306,1.179,0.071
323,2.4958,1.593,-1.186,1.031,0.0
324,2.5133,1.57,-1.187,0.995,0.0
325,2.5307,1.542,-1.182,0.956,0.0
326,2.5482,1.788,-1.392,1.088,0.0
327,2.5656,1.534,-1.21,0.91,0.0
328,2.5831,1.537,-1.228,0.89,0.05
329,2.6005,1.547,-1.252,0.874,0.0
330,2.618,1.475,-1.209,0.811,0.0
331,2.6354,1.458,-1.209,0.78,0.0
332,2.6529,1.431,-1.2,0.745,0.0
333,2.6704,1.557,-1.32,0.789,0.05
334,2.6878,1.417,-1.214,0.695,0.0
335,2.7053,1.402,-1.213,0.666,0.0
336,2.7227,1.394,-1.218,0.641,0.0
337,2.7402,1.56,-1.377,0.696,0.05
338,2.7576,1.375,-1.223,0.589,0.0
339,2.7751,1.38,-1.238,0.57,0.0
340,2.7925,1.373,-1.242,0.545,0.0
341,2.81,1.337,-1.219,0.509,0.05
342,2.8274,1.332,-1.223,0.485,0.05
343,2.8449,1.335,-1.235,0.465,0.0
344,2.8623,1.327,-1.236,0.44,0.0
345,2.8798,1.326,-1.242,0.418,0.0
346,2.8972,1.502,-1.417,0.452,0.0
347,2.9147,1.317,-1.248,0.372,0.0
348,2.9322,1.309,-1.247,0.347,0.0
349,2.9496,1.306,-1.25,0.324,0.0
350,2.9671,1.299,-1.25,0.301,0.0
351,2.9845,1.574,-1.523,0.343,0.05
352,3.002,1.293,-1.255,0.255,0.0
353,3.0194,1.261,-1.228,0.227,0.0
354,3.0369,1.264,-1.235,0.206,0.0
355,3.0543,1.278,-1.253,0.187,0.0
356,3.0718,1.388,-1.365,0.181,0.1
357,3.0892,1.282,-1.263,0.143,0.0
358,3.1067,1.273,-1.257,0.12,0.0
359,3.1241,1.276,-1.262,0.098,0.0
