i,angulo,alcance,x,y,ate_parede
297,2.042,1.431,-0.836,1.401,0.1
298,2.0595,1.378,-0.831,1.342,0.1
299,2.0769,1.377,-0.851,1.329,0.071
300,2.0944,1.369,-0.867,1.31,0.1
301,2.1118,1.372,-0.889,1.3,0.1
302,2.1293,1.372,-0.909,1.286,0.1
303,2.1468,1.383,-0.935,1.281,0.1
304,2.1642,1.41,-0.97,1.288,0.1
305,2.1817,1.418,-0.995,1.28,0.071
306,2.1991,1.416,-1.013,1.263,0.071
307,2.2166,1.437,-1.046,1.264,0.071
308,2.234,1.44,-1.067,1.25,0.05
309,2.2515,1.473,-1.108,1.258,0.05
310,2.2689,1.481,-1.132,1.247,0.0
311,2.2864,1.515,-1.174,1.254,0.0
312,2.3038,1.672,-1.304,1.347,0.0
313,2.3213,1.874,-1.468,1.467,0.071
314,2.3387,1.774,-1.418,1.375,0.0
315,2.3562,1.754,-1.425,1.339,0.0
316,2.3736,1.767,-1.455,1.325,0.0
317,2.3911,1.858,-1.545,1.361,0.05
318,2.4086,1.753,-1.485,1.269,0.05
319,2.426,1.647,-1.42,1.179,0.0
320,2.4435,1.602,-1.402,1.129,0.0
321,2.4609,1.568,-1.392,1.087,0.0
322,2.4784,1.757,-1.562,1.174,0.05
323,2.4958,1.552,-1.41,1.033,0.05
324,2.5133,1.534,-1.411,1.001,0.05
325,2.5307,1.526,-1.418,0.974,0.05
326,2.5482,1.725,-1.602,1.055,0.05
327,2.5656,1.534,-1.453,0.933,0.05
328,2.5831,1.539,-1.471,0.912,0.05
329,2.6005,1.466,-1.419,0.854,0.0
330,2.618,1.427,-1.396,0.813,0.0
331,2.6354,1.421,-1.403,0.788,0.0
332,2.6529,1.55,-1.53,0.822,0.0
333,2.6704,1.402,-1.406,0.736,0.05
334,2.6878,1.392,-1.408,0.709,0.05
335,2.7053,1.374,-1.4,0.68,0.071
336,2.7227,1.379,-1.414,0.66,0.071
337,2.7402,1.364,-1.408,0.632,0.071
338,2.7576,1.573,-1.614,0.679,0.0
339,2.7751,1.339,-1.401,0.579,0.071
340,2.7925,1.328,-1.397,0.554,0.071
341,2.81,1.329,-1.405,0.532,0.071
342,2.8274,1.328,-1.41,0.509,0.05
343,2.8449,1.384,-1.47,0.501,0.071
344,2.8623,1.464,-1.554,0.496,0.05
345,2.8798,1.383,-1.48,0.453,0.05
346,2.8972,1.393,-1.495,0.432,0.05
347,2.9147,1.388,-1.495,0.407,0.0
348,2.9322,1.649,-1.756,0.426,0.05
349,2.9496,1.399,-1.514,0.361,0.05
350,2.9671,1.391,-1.509,0.336,0.05
351,2.9845,1.393,-1.514,0.312,0.1
352,3.002,1.399,-1.523,0.288,0.1
353,3.0194,1.607,-1.732,0.28,0.0
354,3.0369,1.4,-1.527,0.24,0.141
355,3.0543,1.412,-1.54,0.216,0.158
356,3.0718,1.426,-1.555,0.191,0.158
357,3.0892,1.311,-1.441,0.166,0.112
358,3.1067,1.297,-1.426,0.143,0.112
359,3.1241,1.398,-1.527,0.117,0.071
