i,angulo,alcance,x,y,ate_parede
188,0.1396,1.318,7.077,1.348,0.05
189,0.1571,1.313,7.076,1.372,0.05
190,0.1745,1.314,7.08,1.394,0.05
191,0.192,1.306,7.075,1.418,0.05
192,0.2094,1.302,7.073,1.441,0.05
193,0.2269,1.301,7.075,1.464,0.05
194,0.2443,1.306,7.08,1.486,0.05
195,0.2618,1.302,7.078,1.509,0.05
196,0.2793,1.306,7.083,1.531,0.05
197,0.2967,1.312,7.089,1.554,0.0
198,0.3142,1.315,7.092,1.577,0.0
199,0.3316,1.315,7.091,1.6,0.0
200,0.3491,1.316,7.092,1.623,0.0
201,0.3665,1.318,7.093,1.646,0.0
202,0.384,1.321,7.094,1.669,0.0
203,0.4014,1.323,7.094,1.693,0.0
204,0.4189,1.329,7.098,1.716,0.0
205,0.4363,1.333,7.099,1.74,0.0
206,0.4538,1.339,7.101,1.764,0.0
207,0.4712,1.345,7.104,1.788,0.0
208,0.4887,1.352,7.106,1.812,0.0
209,0.5061,1.36,7.11,1.837,0.05
210,0.5236,1.359,7.104,1.86,0.05
211,0.5411,1.369,7.108,1.885,0.071
212,0.5585,1.321,7.056,1.896,0.05
213,0.576,1.28,7.011,1.908,0.05
214,0.5934,1.277,7.001,1.928,0.05
215,0.6109,1.236,6.956,1.937,0.05
216,0.6283,1.194,6.909,1.944,0.0
217,0.6458,1.148,6.859,1.949,0.0
218,0.6632,1.15,6.854,1.968,0.0
219,0.6807,1.159,6.855,1.99,0.0
220,0.6981,1.166,6.854,2.012,0.0
221,0.7156,1.174,6.853,2.033,0.0
222,0.733,1.181,6.852,2.055,0.0
223,0.7505,1.19,6.851,2.078,0.0
224,0.7679,1.196,6.847,2.099,0.0
225,0.7854,1.211,6.851,2.125,0.0
226,0.8029,1.222,6.851,2.149,0.0
227,0.8203,1.239,6.855,2.176,0.0
228,0.8378,1.255,6.858,2.202,0.0
229,0.8552,1.263,6.853,2.225,0.0
230,0.8727,1.288,6.863,2.257,0.0
231,0.8901,1.304,6.864,2.285,0.0
232,0.9076,1.317,6.862,2.311,0.0
233,0.925,1.343,6.869,2.345,0.05
234,0.9425,1.656,7.108,2.551,0.0
235,0.9599,1.714,7.136,2.609,0.0
236,0.9774,1.731,7.131,2.644,0.05
237,0.9948,1.753,7.128,2.681,0.05
238,1.0123,1.787,7.135,2.726,0.0
239,1.0297,1.808,7.13,2.764,0.05
240,1.0472,1.843,7.135,2.811,0.05
241,1.0647,1.88,7.139,2.86,0.0
242,1.0821,1.918,7.144,2.91,0.0
243,1.0996,1.95,7.143,2.957,0.0
244,1.117,1.989,7.145,3.009,0.0
245,1.1345,2.028,7.145,3.061,0.0
246,1.1519,2.074,7.15,3.119,0.0
247,1.1694,2.121,7.153,3.178,0.0
248,1.1868,2.166,7.153,3.237,0.0
249,1.2043,2.229,7.163,3.31,0.0
250,1.2217,2.254,7.148,3.354,0.05
251,1.2392,2.236,7.105,3.363,0.0
252,1.2566,2.228,7.069,3.379,0.0
253,1.2741,2.266,7.059,3.433,0.05
254,1.2915,2.355,7.075,3.53,0.0
255,1.309,2.446,7.089,3.629,0.0
256,1.3265,2.514,7.088,3.709,0.0
257,1.3439,2.6,7.094,3.806,0.0
258,1.3614,2.685,7.097,3.903,0.0
259,1.3788,2.805,7.113,4.031,0.0
260,1.3963,2.908,7.117,4.145,0.0
261,1.4137,3.013,7.119,4.262,0.0
262,1.4312,3.142,7.127,4.401,0.05
263,1.4486,3.269,7.13,4.54,0.05
264,1.4661,3.455,7.152,4.735,0.0
265,1.4835,3.583,7.145,4.876,0.0
266,1.501,3.803,7.167,5.104,0.0
267,1.5184,4.001,7.175,5.314,0.05
268,1.5359,4.238,7.187,5.56,0.0
269,1.5533,4.489,7.197,5.822,0.0
270,1.5708,4.868,7.236,6.209,0.0
271,1.5882,5.185,7.244,6.537,0.0
272,1.6057,5.598,7.268,6.961,0.05
273,1.6232,6.045,7.284,7.418,0.05
274,1.6406,6.047,7.183,7.446,0.05
275,1.6581,7.043,7.294,8.442,0.05
276,1.6755,8.252,7.414,9.653,0.112
277,1.693,9.132,7.432,10.545,0.05
278,1.7104,10.54,7.506,11.962,0.112
279,1.7279,11.606,7.48,13.045,0.071
