i,angulo,alcance,x,y,ate_parede
255,1.309,1.824,0.291,1.729,0.0
256,1.3265,1.808,0.256,1.723,0.0
257,1.3439,1.807,0.225,1.731,0.0
258,1.3614,1.799,0.193,1.733,0.0
259,1.3788,1.853,0.176,1.793,0.0
260,1.3963,1.948,0.167,1.893,0.05
261,1.4137,2.057,0.158,2.008,0.15
262,1.4312,2.207,0.152,2.161,0.112
263,1.4486,2.394,0.149,2.353,0.1
264,1.4661,2.396,0.108,2.362,0.05
265,1.4835,2.386,0.065,2.359,0.0
266,1.501,2.372,0.022,2.351,0.0
267,1.5184,2.38,-0.018,2.364,0.0
268,1.5359,2.355,-0.062,2.343,0.0
269,1.5533,2.364,-0.102,2.356,0.0
270,1.5708,2.367,-0.143,2.362,0.0
271,1.5882,2.371,-0.184,2.368,0.0
272,1.6057,2.361,-0.226,2.359,0.0
273,1.6232,2.357,-0.267,2.356,0.0
274,1.6406,2.357,-0.308,2.356,0.0
275,1.6581,2.364,-0.349,2.363,0.0
276,1.6755,2.358,-0.39,2.355,0.0
277,1.693,2.361,-0.432,2.356,0.0
278,1.7104,1.821,-0.431,1.815,0.0
279,1.7279,1.739,-0.455,1.731,0.05
280,1.7453,1.734,-0.484,1.722,0.05
281,1.7628,1.691,-0.509,1.676,0.071
282,1.7802,1.379,-0.492,1.363,0.05
283,1.7977,1.263,-0.497,1.246,0.05
284,1.8151,1.193,-0.506,1.173,0.071
285,1.8326,1.196,-0.527,1.171,0.05
286,1.85,1.17,-0.542,1.142,0.05
287,1.8675,1.182,-0.564,1.149,0.05
288,1.885,1.169,-0.581,1.132,0.05
289,1.9024,1.177,-0.603,1.133,0.05
290,1.9199,1.169,-0.621,1.121,0.05
291,1.9373,1.177,-0.642,1.122,0.05
292,1.9548,1.174,-0.661,1.113,0.05
293,1.9722,1.166,-0.678,1.098,0.05
294,1.9897,1.187,-0.704,1.111,0.05
295,2.0071,1.19,-0.725,1.107,0.05
296,2.0246,1.19,-0.744,1.099,0.05
297,2.042,1.185,-0.761,1.086,0.05
298,2.0595,1.201,-0.786,1.092,0.05
299,2.0769,1.2,-0.805,1.082,0.05
300,2.0944,1.213,-0.83,1.085,0.0
301,2.1118,1.203,-0.844,1.067,0.05
302,2.1293,1.234,-0.877,1.084,0.0
303,2.1468,1.253,-0.905,1.09,0.0
304,2.1642,1.327,-0.962,1.143,0.0
305,2.1817,2.161,-1.417,1.843,0.1
306,2.1991,1.798,-1.254,1.516,0.1
307,2.2166,1.473,-1.101,1.228,0.05
308,2.234,1.788,-1.301,1.474,0.05
309,2.2515,1.403,-1.103,1.142,0.05
310,2.2689,1.353,-1.093,1.087,0.05
311,2.2864,1.331,-1.099,1.056,0.05
312,2.3038,1.777,-1.395,1.391,0.05
313,2.3213,1.288,-1.108,0.994,0.05
314,2.3387,1.242,-1.095,0.944,0.05
315,2.3562,1.223,-1.099,0.916,0.05
316,2.3736,1.193,-1.095,0.88,0.05
317,2.3911,1.166,-1.091,0.846,0.05
318,2.4086,1.14,-1.088,0.813,0.071
319,2.426,1.134,-1.097,0.795,0.071
320,2.4435,1.115,-1.098,0.768,0.1
321,2.4609,1.095,-1.096,0.74,0.1
322,2.4784,1.072,-1.092,0.71,0.1
323,2.4958,1.105,-1.129,0.718,0.05
324,2.5133,1.058,-1.105,0.673,0.1
325,2.5307,1.031,-1.096,0.642,0.1
326,2.5482,1.018,-1.097,0.62,0.1
327,2.5656,1.011,-1.102,0.601,0.1
328,2.5831,1.008,-1.11,0.586,0.1
329,2.6005,1.021,-1.13,0.578,0.05
330,2.618,1.012,-1.133,0.558,0.05
331,2.6354,1.007,-1.139,0.541,0.05
332,2.6529,1.013,-1.153,0.529,0.05
333,2.6704,1.003,-1.153,0.509,0.05
334,2.6878,1.002,-1.161,0.493,0.05
335,2.7053,0.994,-1.162,0.474,0.05
336,2.7227,1.019,-1.193,0.47,0.0
337,2.7402,0.876,-1.073,0.391,0.1
338,2.7576,0.872,-1.076,0.375,0.1
339,2.7751,0.868,-1.079,0.36,0.1
340,2.7925,0.856,-1.074,0.341,0.1
341,2.81,0.859,-1.082,0.329,0.1
342,2.8274,0.843,-1.073,0.309,0.1
343,2.8449,0.931,-1.161,0.326,0.05
344,2.8623,0.84,-1.081,0.28,0.1
345,2.8798,0.827,-1.074,0.262,0.1
346,2.8972,0.819,-1.07,0.246,0.1
347,2.9147,0.819,-1.075,0.233,0.1
348,2.9322,0.808,-1.068,0.216,0.1
349,2.9496,0.802,-1.066,0.201,0.1
350,2.9671,0.81,-1.077,0.189,0.1
351,2.9845,0.796,-1.066,0.172,0.1
352,3.002,0.796,-1.069,0.159,0.1
353,3.0194,0.789,-1.065,0.144,0.1
354,3.0369,0.792,-1.07,0.131,0.1
355,3.0543,0.793,-1.074,0.117,0.1
356,3.0718,0.807,-1.089,0.105,0.1
357,3.0892,0.792,-1.076,0.09,0.1
358,3.1067,0.791,-1.077,0.076,0.1
359,3.1241,0.788,-1.075,0.062,0.1
