t,x,y,yaw,dist
4.2099,10.59348,6.72676,-2.23071,8.76525
4.2304,10.59348,6.72676,-2.23071,8.76525
4.2494,10.5926,6.72585,-2.22923,8.76421
4.2702,10.59145,6.72471,-2.22666,8.76286
4.2902,10.59031,6.72357,-2.22409,8.76152
4.3109,10.58918,6.72243,-2.22152,8.76018
4.3317,10.58804,6.72128,-2.21895,8.75884
4.3509,10.58605,6.7192,-2.21518,8.75648
4.371,10.58383,6.71687,-2.21055,8.75385
4.3911,10.58162,6.71452,-2.20592,8.75122
4.4109,10.57943,6.71216,-2.2013,8.7486
4.4308,10.57724,6.7098,-2.19667,8.746
4.4512,10.57431,6.70647,-2.1919,8.74248
4.4712,10.57118,6.70286,-2.18628,8.7387
4.4908,10.56802,6.69922,-2.18028,8.73489
4.5112,10.56488,6.69555,-2.17426,8.7311
4.531,10.56176,6.69187,-2.16825,8.72733
4.552,10.55809,6.68707,-2.16466,8.72279
4.5714,10.55435,6.68187,-2.16224,8.71812
4.591,10.55062,6.67666,-2.15982,8.71346
4.6114,10.54691,6.67144,-2.15741,8.70881
4.6311,10.54321,6.66622,-2.155,8.70417
4.6518,10.53961,6.6607,-2.15575,8.69959
4.6708,10.53604,6.65514,-2.15689,8.69502
4.6908,10.53246,6.64959,-2.15803,8.69045
4.7111,10.52887,6.64404,-2.15917,8.68588
4.7329,10.52528,6.6385,-2.16029,8.68131
4.7527,10.52196,6.63328,-2.162,8.67706
4.7723,10.51864,6.62809,-2.16386,8.67283
4.7917,10.51532,6.6229,-2.1657,8.66859
4.8124,10.51199,6.61772,-2.16751,8.66435
4.8327,10.50865,6.61255,-2.16931,8.6601
4.8521,10.50543,6.60797,-2.16824,8.65609
4.872,10.50223,6.60344,-2.16705,8.6521
4.8919,10.49903,6.5989,-2.16589,8.64812
4.9121,10.49585,6.59435,-2.16474,8.64415
4.9321,10.49266,6.5898,-2.16359,8.64019
4.9528,10.48955,6.58573,-2.15969,8.63638
4.9722,10.48646,6.58173,-2.15567,8.6326
4.9922,10.48339,6.57769,-2.15178,8.62884
5.012,10.48034,6.57362,-2.14799,8.62511
5.0326,10.47733,6.56952,-2.14427,8.6214
5.0528,10.47433,6.56578,-2.13807,8.61777
5.0734,10.47137,6.56206,-2.13175,8.61418
5.0922,10.46842,6.55832,-2.12542,8.61061
5.1124,10.4655,6.55456,-2.1191,8.60706
5.1337,10.46261,6.55078,-2.11278,8.60353
5.1532,10.45966,6.54714,-2.10448,8.59997
5.173,10.45673,6.54349,-2.0961,8.59643
5.1935,10.45383,6.53981,-2.08773,8.59291
5.2137,10.45096,6.53611,-2.07935,8.58943
5.2331,10.44812,6.53238,-2.07098,8.58597
5.2529,10.44531,6.52863,-2.06261,8.58254
5.2736,10.44254,6.52486,-2.05423,8.57914
5.2937,10.4398,6.52106,-2.04586,8.57577
5.3133,10.43709,6.51724,-2.03748,8.57242
5.3333,10.43441,6.5134,-2.02911,8.56911
5.3538,10.43176,6.50954,-2.02073,8.56582
5.3732,10.42915,6.50565,-2.01236,8.56256
5.3932,10.42657,6.50175,-2.00399,8.55934
5.4134,10.42402,6.49782,-1.99561,8.55614
5.4341,10.4215,6.49387,-1.98724,8.55297
5.4531,10.41902,6.4899,-1.97886,8.54983
5.4735,10.41657,6.4859,-1.97049,8.54673
