t,x,y,yaw,dist
3.7132,2.0298,5.09071,-1.62702,8.75133
3.7357,2.02963,5.091,-1.62469,8.75145
3.7557,2.02943,5.09125,-1.62215,8.7516
3.7754,2.02924,5.09151,-1.6196,8.75175
3.7952,2.02904,5.09177,-1.61705,8.75189
3.8155,2.02885,5.09203,-1.61451,8.75204
3.8353,2.02847,5.09216,-1.60976,8.7524
3.8556,2.02807,5.09227,-1.60481,8.75277
3.8754,2.02767,5.09237,-1.59987,8.75315
3.8959,2.02727,5.09248,-1.59492,8.75352
3.9154,2.02686,5.09258,-1.58997,8.7539
3.9359,2.02661,5.0926,-1.58682,8.75415
3.9554,2.0264,5.09263,-1.58425,8.75435
3.9757,2.0262,5.09264,-1.58187,8.75454
3.9962,2.02601,5.09264,-1.57949,8.75473
4.0154,2.02582,5.09264,-1.57712,8.75492
4.0359,2.0258,5.09264,-1.57696,8.75494
4.0553,2.0258,5.09264,-1.57696,8.75494
4.0756,2.0258,5.09264,-1.57696,8.75494
4.0954,2.0258,5.09264,-1.57696,8.75494
4.1158,2.0258,5.09264,-1.57696,8.75494
4.1354,2.02571,5.09152,-1.57593,8.75522
4.1561,2.0255,5.08994,-1.57339,8.7557
4.1764,2.02529,5.08835,-1.57084,8.75618
4.1956,2.02508,5.08677,-1.56829,8.75666
4.2165,2.02488,5.08518,-1.56575,8.75713
4.2357,2.02461,5.08249,-1.56216,8.75787
4.2558,2.02423,5.0793,-1.55704,8.7588
4.2753,2.02386,5.07611,-1.55192,8.75971
4.2953,2.02351,5.07292,-1.5468,8.76061
4.3161,2.02318,5.06972,-1.54169,8.76149
4.3357,2.02279,5.0655,-1.53514,8.76261
4.3555,2.02234,5.06084,-1.52732,8.76388
4.3759,2.02193,5.05615,-1.51961,8.7651
4.3956,2.02156,5.05146,-1.5119,8.7663
4.4164,2.02122,5.04677,-1.50418,8.76746
4.4357,2.0209,5.04204,-1.49619,8.76861
4.4551,2.02062,5.03731,-1.48821,8.76973
4.4764,2.02038,5.03258,-1.48022,8.77081
4.4964,2.02017,5.02785,-1.47223,8.77186
4.5155,2.02,5.02311,-1.46424,8.77288
4.5352,2.02009,5.01728,-1.45698,8.77384
4.5552,2.02031,5.01109,-1.45073,8.77475
4.5755,2.02058,5.00486,-1.4447,8.77561
4.5956,2.02091,4.99861,-1.43888,8.77642
4.6159,2.02131,4.99233,-1.4333,8.77718
4.636,2.02186,4.98617,-1.42952,8.77778
4.6552,2.02248,4.98004,-1.42637,8.77829
4.6763,2.02314,4.97389,-1.42348,8.77878
4.6961,2.02383,4.96774,-1.42062,8.77925
4.7153,2.02453,4.96158,-1.41777,8.7797
4.7354,2.02517,4.95601,-1.41495,8.78012
4.7554,2.02582,4.9505,-1.41234,8.78051
