t,fonte,key,mux,roda
10.8894,roda,0.0,0.0,0.0
10.9901,roda,0.0,0.0,0.0
11.0895,roda,0.0,0.0,0.0
11.1894,roda,0.0,0.0,0.0
11.2894,roda,0.0,0.0,0.0
11.3917,roda,0.0,0.0,0.0
11.4894,roda,0.0,0.0,0.0
11.5912,roda,0.0,0.0,0.0
11.6896,roda,0.0,0.0,0.0
11.7896,roda,0.0,0.0,0.0
11.8894,roda,0.0,0.0,0.0
11.9894,roda,0.0,0.0,0.0
12.0894,roda,0.0,0.0,0.0
12.1895,roda,0.0,0.0,0.0
12.2899,roda,0.0,0.0,0.0
12.3896,roda,0.0,0.0,0.0
12.4895,roda,0.0,0.0,0.0
12.5915,roda,0.0,0.0,0.0
12.6894,roda,0.0,0.0,0.0
12.7895,roda,0.0,0.0,0.0
12.8895,roda,0.0,0.0,0.0
12.9895,roda,0.0,0.0,0.0
13.0893,roda,0.0,0.0,0.0
13.1896,roda,0.0,0.0,0.0
13.2894,roda,0.0,0.0,0.0
13.3896,roda,0.0,0.0,0.0
13.4894,roda,0.0,0.0,0.0
13.5894,roda,0.0,0.0,0.0
13.6895,roda,0.0,0.0,0.0
13.7895,roda,0.0,0.0,0.0
13.8911,roda,0.0,0.0,0.0
13.9895,roda,0.0,0.0,0.0
14.091,roda,0.0,0.0,0.0
14.1895,roda,0.0,0.0,0.0
14.2895,roda,0.0,0.0,0.0
14.3894,roda,0.0,0.0,0.0
14.49,roda,0.0,0.0,0.0
14.5895,roda,0.0,0.0,0.0
14.6896,roda,0.0,0.0,0.0
14.7894,roda,0.0,0.0,0.0
14.8906,roda,0.0,0.0,0.0
14.9895,roda,0.0,0.0,0.0
15.0895,roda,0.0,0.0,0.0
15.1895,roda,0.0,0.0,0.0
15.29,roda,0.0,0.0,0.0
15.3895,roda,0.0,0.0,0.0
15.4895,roda,0.0,0.0,0.0
15.5909,roda,0.0,0.0,0.0
15.6895,roda,0.0,0.0,0.0
15.7895,roda,0.0,0.0,0.0
15.8897,roda,0.0,0.0,0.0
15.9916,roda,0.0,0.0,0.0
16.0895,roda,0.0,0.0,0.0
16.1909,roda,0.0,0.0,0.0
16.2896,roda,0.0,0.0,0.0
16.3913,roda,0.0,0.0,0.0
16.4896,roda,0.0,0.0,0.0
16.591,roda,0.0,0.0,0.0
16.6895,roda,0.0,0.0,0.0
16.7912,roda,0.0,0.0,0.0
16.8895,roda,0.0,0.0,0.0
16.9917,roda,0.0,0.0,0.0
17.0895,roda,0.0,0.0,0.0
17.1895,roda,0.0,0.0,0.0
17.2896,roda,0.0,0.0,0.0
17.3894,roda,0.0,0.0,0.0
