t,estado,x,y,rumo,rumo_alvo,erro_rumo,v_alvo,dist,raio_curva,mira,alvo_x,alvo_y,desvio_lateral
33.7,seguindo,1.2393,-0.0677,0.0363,-0.0462,-0.0825,0.5,4.4858,520.9317,1.0,2.2552,-0.1147,0.0294
33.75,seguindo,1.2568,-0.0673,0.039,-0.0475,-0.0864,0.5,4.4688,520.9317,1.0,2.2552,-0.1147,0.0302
33.8,seguindo,1.2684,-0.0669,0.0407,-0.0483,-0.089,0.5,4.4575,520.9317,1.0,2.2552,-0.1147,0.0307
33.85,seguindo,1.2858,-0.0664,0.0434,-0.0482,-0.0915,0.5,4.4405,897.1087,1.0,2.3052,-0.1156,0.0315
33.9,seguindo,1.2974,-0.0661,0.0451,-0.0491,-0.0942,0.5,4.4292,897.1087,1.0,2.3052,-0.1156,0.0321
33.95,seguindo,1.3148,-0.0655,0.0479,-0.0505,-0.0984,0.5,4.4122,897.1087,1.0,2.3052,-0.1156,0.033
34.0,seguindo,1.3265,-0.0651,0.0497,-0.0527,-0.1025,0.5,4.4009,45.3519,1.0,2.3052,-0.1167,0.0337
34.05,seguindo,1.3439,-0.0644,0.0524,-0.0542,-0.1066,0.5,4.3811,29.4891,1.0,2.3538,-0.1191,0.0394
34.1,seguindo,1.3555,-0.0639,0.0542,-0.0553,-0.1095,0.5,4.3698,29.4891,1.0,2.3538,-0.1191,0.04
34.15,seguindo,1.3729,-0.0632,0.0569,-0.057,-0.1139,0.5,4.3528,29.4891,1.0,2.3538,-0.1191,0.041
34.2,seguindo,1.3845,-0.0626,0.0587,-0.057,-0.1157,0.5,4.3415,19.7328,1.0,2.4038,-0.1208,0.0417
34.25,seguindo,1.4019,-0.0618,0.0614,-0.0588,-0.1202,0.5,4.3245,19.7328,1.0,2.4038,-0.1208,0.0427
34.3,seguindo,1.4135,-0.0612,0.0632,-0.0601,-0.1233,0.5,4.3131,19.7328,1.0,2.4038,-0.1208,0.0435
34.35,seguindo,1.4309,-0.0603,0.0659,-0.0611,-0.127,0.5,4.2961,13.6576,1.0,2.4537,-0.1229,0.0446
34.4,seguindo,1.4426,-0.0597,0.0677,-0.0624,-0.1301,0.5,4.2848,13.6576,1.0,2.4537,-0.1229,0.0454
34.45,seguindo,1.46,-0.0587,0.0703,-0.0645,-0.1349,0.5,4.2677,13.6576,1.0,2.4537,-0.1229,0.0466
34.5,seguindo,1.4716,-0.058,0.0721,-0.066,-0.1381,0.5,4.2564,13.6576,1.0,2.4537,-0.1229,0.0474
34.55,seguindo,1.489,-0.057,0.0748,-0.0675,-0.1423,0.5,4.2393,9.8424,1.0,2.5037,-0.1256,0.0487
34.6,seguindo,1.5006,-0.0562,0.0766,-0.069,-0.1456,0.5,4.228,9.8424,1.0,2.5037,-0.1256,0.0496
