t,x,y
20.12,2.587911865344095,4.929006834369351
20.14,2.592336811883267,4.92536629766236
20.16,2.5967660754218853,4.9216699189746045
20.18,2.6012011991137456,4.917905844503464
20.2,2.605640610822635,4.914086116036056
20.22,2.610068578474811,4.910218163510948
20.24,2.614435573118528,4.906336322915796
20.26,2.6187621684743245,4.902420875221385
20.28,2.623067850334051,4.898448449656679
20.3,2.6273317195941726,4.894435087431032
20.32,2.6315418330944103,4.890375049498437
20.34,2.6356973820966734,4.88626638362212
20.36,2.639795838113285,4.882110309719293
20.38,2.643851265716039,4.877882861981802
20.4,2.6478477207836684,4.873605947247655
20.42,2.6517833601934453,4.869283088042613
20.44,2.6555699317211863,4.864956973063828
20.46,2.6592710547848077,4.860657541583479
20.48,2.6629394604687415,4.856304444596091
20.5,2.666557653161678,4.851916579187712
20.52,2.6701150967510827,4.847492004224428
20.54,2.6736027582853814,4.843026742797513
20.56,2.677022244555165,4.838519027795724
20.58,2.6803836339917457,4.8339158193461635
20.6,2.683665345950408,4.8292648484766225
20.62,2.6868643292698455,4.824567234886195
20.64,2.6899740424351806,4.819844870643356
20.66,2.693012273412295,4.815090869562564
20.68,2.6959728785614927,4.810231584258266
20.7,2.698838082074913,4.805324576157049
20.72,2.701606302772707,4.800371356965675
20.74,2.704280544002383,4.795363422878294
20.76,2.706863788488936,4.7903159496452385
20.78,2.709363925375319,4.785159908525344
20.8,2.7117672742124834,4.779964229325837
20.82,2.7140730859645665,4.774730786347025
20.84,2.7162973517002214,4.769363469668384
20.86,2.71842382462383,4.763960997143449
20.88,2.7204609257733203,4.758466754124236
20.9,2.7223983212191696,4.752939623191333
20.92,2.724237665394042,4.747383250834824
20.94,2.725980303592295,4.741777151931716
20.96,2.727625630303156,4.736143792785773
20.98,2.72917680992385,4.7304314451106295
21.0,2.7306309945091125,4.724694786515329
21.02,2.7319886178476724,4.718936340421676
21.04,2.7332500287199033,4.713109904712212
21.06,2.7344159938393147,4.707263750413696
21.08,2.735486444745152,4.701381099130681
21.1,2.7364694803750162,4.695481518822488
21.12,2.737364804435822,4.689566629298422
21.14,2.7381721025809154,4.683608424397687
21.16,2.7388931027468164,4.677637797065894
21.18,2.7395188863787747,4.671541084301378
21.2,2.7400585517980662,4.665435032521944
21.22,2.74051184501723,4.65932064732212
21.24,2.740876360204279,4.653174644055256
21.26,2.7411558129169293,4.647023016981868
21.28,2.7413433898681143,4.640817897402079
21.3,2.741446664287841,4.6346084187271455
21.32,2.7414653958841746,4.628396186037069
21.34,2.7413982593763926,4.622163114665259
21.36,2.741247320709105,4.615927576386818
21.38,2.7410087655802076,4.6096594679721
21.4,2.740686386138449,4.603390121926024
21.42,2.7402806173409715,4.597120491312386
21.44,2.7397938873154954,4.590834106860324
21.46,2.7392240719224095,4.584547856452909
21.48,2.738565489712023,4.578218335546382
21.5,2.7378238390411425,4.571888941497229
21.52,2.7369991960856246,4.565561397427162
21.54,2.736093507017862,4.5592177445405335
21.56,2.735105409066933,4.552875541848929
21.58,2.7340674795917628,4.546552368351849
21.6,2.7330025640472884,4.540333210498185
21.62,2.7318683725098696,4.534171064581913
21.64,2.7306701789757635,4.528088013156562
21.66,2.7293891735722258,4.522057835208656
21.68,2.7280070275050825,4.515926973278083
21.7,2.7265081261474364,4.509594313616145
21.72,2.7249294843815277,4.503262645495078
21.74,2.7232780489879254,4.496951906772888
21.76,2.7215401427074077,4.490669460849791
21.78,2.7197351600739923,4.484408543059986
21.8,2.7178453154456537,4.478181378719682
21.82,2.7158801098090666,4.471960182465764
21.84,2.71386884987973,4.465780821235424
21.86,2.7118030139277263,4.459625483567961
21.88,2.709708603922921,4.453529125515658
21.9,2.7075601170508814,4.447460440558138
21.92,2.7053609262241163,4.441410550604149
21.94,2.7031332901098435,4.435415881793184
21.96,2.7008557114737517,4.42944758840554
21.98,2.6985347871013663,4.423507135056993
22.0,2.6961668738645264,4.417587573032565
22.02,2.6937524612264108,4.411687575616541
22.04,2.691260154420072,4.405649194626848
22.06,2.6886992811434425,4.399608789121381
22.08,2.6860755958138736,4.393590983069708
22.1,2.6833830662585276,4.387604758187919
22.12,2.6806463698683536,4.381637697116739
22.14,2.677883599497021,4.375718783850276
22.16,2.6750788566116053,4.369825251396665
22.18,2.672260563123803,4.363992110131688
22.2,2.6694016247945793,4.358187168805423
22.22,2.666503196906681,4.352402495549258
22.24,2.6635804302513746,4.346659648625335
22.26,2.660620094607758,4.3409399456120825
22.28,2.6576431970333307,4.33526937406474
22.3,2.654629982139104,4.329623306016006
22.32,2.6515809758909534,4.3239970228454485
22.34,2.648509312507127,4.318408712503429
22.36,2.6454043633086353,4.312842194150552
22.38,2.6422829637999987,4.307319250577794
22.4,2.639129807891685,4.301818837417476
22.42,2.635944969545551,4.296337202131195
22.44,2.6327451006081395,4.290897604964824
22.46,2.62951595637076,4.285479686948087
22.48,2.626269988140518,4.280098995825889
22.5,2.6229959257243545,4.2747389343495765
22.52,2.6196934308353077,4.269396855115039
22.54,2.6164130002977646,4.264131758142359
22.56,2.613108033341838,4.258899914108768
22.58,2.609789939931022,4.253703208493786
22.6,2.606447099613434,4.248525795111026
22.62,2.6030794720533277,4.243364848404477
22.64,2.599699020625336,4.238235796035616
22.66,2.596295880549189,4.233124700688914
22.68,2.592878283450253,4.22804129335379
22.7,2.5894391447961467,4.222974798770163
22.72,2.5859781042359242,4.217923644385495
22.74,2.5825058636976923,4.212901456551123
22.76,2.5790139454289696,4.207895684733484
22.78,2.5755154435033467,4.2029210815862035
22.8,2.571998205499319,4.197962754004733
22.82,2.5684622108239674,4.193018040611399
22.84,2.5649163830802713,4.188097929987375
22.86,2.561353386758308,4.183192467757125
22.88,2.5577530861365023,4.178269201609975
22.9,2.554128988199854,4.173354929107043
22.92,2.550488642128926,4.16845295360973
22.94,2.5468427410296974,4.163575680000374
22.96,2.543182636853328,4.1587114443619955
22.98,2.5395177304313408,4.153870194248924
23.0,2.5358393748363244,4.14904131595637
23.02,2.5321473928813814,4.144223013982958
23.04,2.5284492560420193,4.139423592763551
23.06,2.5247396558887893,4.13463473645967
23.08,2.521026268281115,4.129865544197617
23.1,2.517301996669506,4.125106832205878
23.12,2.51356667605077,4.120356882174472
23.14,2.5098307331551153,4.115626798430741
23.16,2.506085427634904,4.110906163122013
23.18,2.502338095784395,4.106202466763688
23.2,2.4985826126984523,4.101507038021049
23.22,2.494819826551553,4.096817355074966
23.24,2.4910591078793773,4.092146744652108
23.26,2.487296943116473,4.08747799282539
23.28,2.4834779537162115,4.082728193667758
23.3,2.47966246289315,4.077973943401326
23.32,2.4758509136330544,4.07321645490035
23.34,2.4720519700404204,4.068467347021565
23.36,2.468255673949164,4.063716020980431
23.38,2.464460734216121,4.058981344943936
23.4,2.4606624733222935,4.054250080647848
23.42,2.456860759711358,4.04952159026734
23.44,2.4530591929680305,4.044811523817213
23.46,2.449254873592863,4.040105099485838
23.48,2.4454504855448898,4.035413754842806
23.5,2.441643644612376,4.030725202056205
23.52,2.437834206893531,4.0260387589076085
23.54,2.4340259578570724,4.021370822616094
23.56,2.4302158731378354,4.016705893111621
23.58,2.4264066653741185,4.012055552184096
23.6,2.422595882389677,4.007407343902688
23.62,2.4187833709421076,4.002760553220462
23.64,2.4149423636897,3.99806892577268
23.66,2.411103531611042,3.9933731923012084
23.68,2.4072732627630544,3.9886846421644258
23.7,2.4034399588403828,3.9839985731680376
23.72,2.3996036214257908,3.979314987272108
23.74,2.3957681849859367,3.974650297461649
23.76,2.3919304506986117,3.9699890862868763
23.78,2.388093720027641,3.9653448912203855
23.8,2.3842551371382017,3.960703510039169
23.82,2.380414464046595,3.956063858320301
23.84,2.3765757439593322,3.951442775497192
23.86,2.372735582367006,3.9468238756175675
23.88,2.368896571873615,3.9422178210718215
23.9,2.365056408160426,3.937613376455651
23.92,2.361214969780099,3.9330099952268065
23.94,2.3573769676859686,3.9284250168358086
23.96,2.353537760571014,3.9238413957766705
23.98,2.349701052294809,3.9192720724372503
24.0,2.3458639565441746,3.9147032307068605
24.02,2.3420264438852554,3.910134739145155
24.04,2.3381535972250647,3.905512941988786
24.06,2.3342856811529833,3.9008865069480865
24.08,2.330429392506249,3.8962640428256163
24.1,2.3265734034652357,3.8916413078654823
24.12,2.322715426887904,3.887020231504891
24.14,2.31886250692447,3.8824205288080216
24.16,2.315006368807768,3.877824456140039
24.18,2.311151781120061,3.873241625115383
24.2,2.307296246584689,3.8686601057699956
24.22,2.303439667339625,3.86407946579365
24.24,2.2995868527124443,3.8595165085693157
24.26,2.2957328836123705,3.8549547609662254
24.28,2.291881408404862,3.850406032766817
24.3,2.288029713405495,3.845857579987841
24.32,2.2841777815734075,3.8413093277727715
24.34,2.2803305847303306,3.8367796526083824
24.36,2.276483225594472,3.832250114813051
24.38,2.272639313167157,3.827733380116247
24.4,2.268796003882782,3.823216132225387
24.42,2.264953297804687,3.8186983711890745
24.44,2.261114289187046,3.8141927681267425
24.46,2.257276216073696,3.8096863681615902
24.48,2.253441940240273,3.805190914640212
24.5,2.249608906496219,3.800694402034224
24.52,2.245777115137358,3.796196830657966
24.54,2.2418953436210374,3.7916262183591214
24.56,2.2380201500479338,3.787049150393125
24.58,2.2341584897153464,3.782473662766773
24.6,2.2303028612459888,3.777893078650308
24.62,2.226451948162472,3.773308506482719
24.64,2.2226044881190883,3.7687424936284657
24.66,2.2187563644702526,3.7641772305597785
24.68,2.2149118937380945,3.7596295492194547
24.7,2.211067314728729,3.7550819594575424
24.72,2.2072226506259756,3.7505344416358004
24.74,2.2033821738279573,3.746004554776233
24.76,2.1995420773974037,3.741474345505754
24.78,2.1957052815006675,3.7369558208648
24.8,2.19186918219707,3.732436704847571
24.82,2.188033779580915,3.7279169975319792
24.84,2.184204149596597,3.723415251426802
24.86,2.1803751997168455,3.718912923835511
24.88,2.1765505474016638,3.7144224119980103
24.9,2.1727274217269814,3.709930600367849
24.92,2.1689058231384712,3.7054374894324487
24.94,2.1650513961204507,3.7008919746448914
24.96,2.1612035495712223,3.696339346677006
24.98,2.157370011787427,3.6917883063258676
25.0,2.153538310274916,3.687235717493944
25.02,2.1497066663842874,3.682683077369935
25.04,2.145882788661401,3.6781527763863795
25.06,2.1420575006096083,3.6736236598812972
25.08,2.1382356922296446,3.6691056243091875
25.1,2.1344148694691394,3.6645867552108013
25.12,2.1305950325136784,3.660067052772409
25.14,2.1267810726482588,3.655564301088922
25.16,2.122968008403829,3.6510607868580367
25.18,2.1191592866711466,3.6465681028057015
25.2,2.115352340081564,3.6420739144848966
25.22,2.1115471692331176,3.6375782225671696
25.24,2.107749209568951,3.6331001447301183
25.26,2.103952730969842,3.6286208019682205
25.28,2.1001604438897736,3.6241475880601364
25.3,2.0963706506885234,3.619672261109666
25.32,2.0925833525475284,3.6151948224869996
25.34,2.0887598166710344,3.610660038213801
25.36,2.084941210544459,3.6061164799383385
25.38,2.0811381455322158,3.6015719847394108
25.4,2.0773417993599255,3.5970225233335484
25.42,2.07354726421747,3.592471302370575
25.44,2.0697628909929318,3.5879428157041606
25.46,2.065976413390861,3.5834160650487137
25.48,2.062194077479243,3.578899678730152
25.5,2.058413493745155,3.574381825618449
25.52,2.054634662762668,3.5698625063644447
25.54,2.0508620918450102,3.565360519105696
25.56,2.047091617928752,3.5608567738362784
25.58,2.0433261625082912,3.5563632139501435
25.6,2.039563262034711,3.551867514362966
25.62,2.035802917729522,3.547369676497212
25.64,2.0320510793162363,3.5428890569977325
25.66,2.028300934411787,3.538406998750936
25.68,2.0245116220754924,3.5338641990526516
25.7,2.020727257661472,3.529309287019724
25.72,2.0169520612033036,3.5247466455392265
25.74,2.0131955390281324,3.5201881502915335
25.76,2.0094413774634585,3.5156286462996698
25.78,2.0056912259001494,3.511079979137897
25.8,2.0019427156570795,3.5065299593102255
25.82,1.998195847228517,3.5019785873788374
25.84,1.9944599332024682,3.4974507622894317
25.86,1.9907229706529692,3.4929237649233436
25.88,1.986990899257547,3.488406215378234
25.9,1.9832614803275024,3.483886475890909
25.92,1.9795347151546467,3.4793645479898676
25.94,1.9758153626145025,3.474859178992909
25.96,1.9720985878787625,3.4703516743334775
25.98,1.968387565847622,3.465853467438154
26.0,1.9646799981237633,3.461352412989
26.02,1.9609758868997964,3.4568485136083766
26.04,1.9572814702262877,3.4523618196998913
26.06,1.9535893193576697,3.4478732268713
26.08,1.9498602286089575,3.443327716998962
26.1,1.9461351329114398,3.4387663676057607
26.12,1.9424208135798153,3.4341940603737293
26.14,1.9387254327014949,3.4296257917327244
26.16,1.9350350795603037,3.425055848139047
26.18,1.9313532902320665,3.4205049927911113
26.2,1.9276726272109628,3.415953203288502
26.22,1.9239948116447174,3.4113991127486574
26.24,1.9203246918526888,3.4068612283783537
26.26,1.9166570202322188,3.402321350707828
26.28,1.9129950575997046,3.3977901488089106
26.3,1.9093367330241087,3.3932560091905315
26.32,1.9056820488713824,3.3887189347442295
26.34,1.9020362772176815,3.3841987415807355
26.36,1.8983935619152843,3.3796760625888442
26.38,1.8947575040409779,3.375162256116448
26.4,1.8911259307235824,3.3706448408408787
26.42,1.8874988455548711,3.3661238211858824
26.44,1.8838806701233912,3.36161873234601
26.46,1.8802670139315854,3.357110006141762
26.48,1.8766606526012783,3.352608896485879
26.5,1.8730595849080975,3.3481035506097085
26.52,1.869463815839023,3.343593974708499
26.54,1.8658793849476274,3.339100655379434
26.56,1.8622988790623156,3.3346041531409094
26.58,1.858664075815267,3.3300299070289836
26.6,1.8550328632085276,3.3254374436167553
26.62,1.8514090715838702,3.3208289750158273
26.64,1.8478099464146667,3.3162179007319765
26.66,1.8442246296798224,3.3115991108745426
26.68,1.8406636055449412,3.307013700258693
26.7,1.8371053911786985,3.3024268241217194
26.72,1.8335514683382068,3.297836622092971
26.74,1.8300012847561318,3.293240049782135
26.76,1.8264552838800427,3.288640033359076
26.78,1.822915310401884,3.2840467571114043
26.8,1.8193798135602048,3.279450034273845
26.82,1.815848796723239,3.2748498691824297
26.84,1.8123272368247176,3.2702658323387936
26.86,1.8088092764351804,3.265678999952062
26.88,1.8052983135536906,3.2610996098386
26.9,1.8017926552433896,3.2565161576673427
26.92,1.7982923062178775,3.2519286495524833
26.94,1.79480300042955,3.2473578678896633
26.96,1.7913175219834163,3.242784111468396
26.98,1.787805689762006,3.238167230733097
27.0,1.7842976183006476,3.2335318310185657
27.02,1.7807980483149004,3.2288811215499456
27.04,1.7773230534112703,3.2242307588271673
27.06,1.7738542270458595,3.2195773564235757
27.08,1.7703917904267212,3.2149328831556874
27.1,1.7669340597987828,3.210284905316949
27.12,1.7634810387249056,3.205633427642555
27.14,1.7600426035235326,3.2010067901485058
27.16,1.75660459577988,3.1963797571107437
27.18,1.7531739114841585,3.1917599064959292
27.2,1.7497490542592389,3.187135734433736
27.22,1.746330029564774,3.182507248242892
27.24,1.7429216917766734,3.1778952911630993
27.26,1.7395181735561656,3.173279730991497
27.28,1.7361228851663013,3.168671518165146
27.3,1.732734308803862,3.164058367532537
27.32,1.7293524516672856,3.1594402888367066
27.34,1.7259835769315905,3.1548403938261522
27.36,1.72261927717725,3.150237060271192
27.38,1.7192165981646794,3.1455778550726756
27.4,1.7158177391198908,3.1408999876550983
27.42,1.7124252715358073,3.136204594463462
27.44,1.7090587511873336,3.1315064370974888
27.46,1.7057099680345464,3.126797975019037
27.48,1.7023751452203386,3.1220887020755854
27.5,1.699045775622066,3.1173755722459195
27.52,1.695721863715208,3.1126585918182816
27.54,1.692414665181756,3.107968248109439
27.56,1.689106827251675,3.103278352933294
27.58,1.6858066400033747,3.098594133981845
27.6,1.682513092624615,3.093905244072317
27.62,1.6792261917456583,3.089211692587719
27.64,1.6759504475025861,3.0845340752840515
27.66,1.6726800286159251,3.0798526749541457
27.68,1.6694182525320749,3.075177824849695
27.7,1.6661639963146604,3.07049773692048
27.72,1.6629172683956064,3.0658124232298545
27.74,1.6596834532954259,3.061144097860574
27.76,1.6564550396080504,3.056471940234644
27.78,1.6532358351262795,3.051803390295442
27.8,1.6500250254458708,3.047129062845118
27.82,1.6468226209563395,3.0424489729519135
27.84,1.643581489474943,3.0377115640927648
27.86,1.6403441994673407,3.032954805817014
27.88,1.6371179796469477,3.0281850850340626
