t_s,n_visiveis,duplicados,faltando,sobrando,nao_prontos,pronto
52.0,0,,/cmd_vel_to_wheels /dpad_reto /joy_node /mega_bridge /robot_state_publisher /rosbag2_recorder /teleop_twist_joy_node /twist_mux,,,False
54.0,0,,/cmd_vel_to_wheels /dpad_reto /joy_node /mega_bridge /robot_state_publisher /rosbag2_recorder /teleop_twist_joy_node /twist_mux,,,False
56.0,0,,/cmd_vel_to_wheels /dpad_reto /joy_node /mega_bridge /robot_state_publisher /rosbag2_recorder /teleop_twist_joy_node /twist_mux,,,False
58.0,0,,/cmd_vel_to_wheels /dpad_reto /joy_node /mega_bridge /robot_state_publisher /rosbag2_recorder /teleop_twist_joy_node /twist_mux,,,False
60.0,0,,/cmd_vel_to_wheels /dpad_reto /joy_node /mega_bridge /robot_state_publisher /rosbag2_recorder /teleop_twist_joy_node /twist_mux,,,False
62.0,0,,/cmd_vel_to_wheels /dpad_reto /joy_node /mega_bridge /robot_state_publisher /rosbag2_recorder /teleop_twist_joy_node /twist_mux,,,False
64.0,0,,/cmd_vel_to_wheels /dpad_reto /joy_node /mega_bridge /robot_state_publisher /rosbag2_recorder /teleop_twist_joy_node /twist_mux,,,False
66.0,0,,/cmd_vel_to_wheels /dpad_reto /joy_node /mega_bridge /robot_state_publisher /rosbag2_recorder /teleop_twist_joy_node /twist_mux,,,False
68.0,0,,/cmd_vel_to_wheels /dpad_reto /joy_node /mega_bridge /robot_state_publisher /rosbag2_recorder /teleop_twist_joy_node /twist_mux,,,False
70.0,0,,/cmd_vel_to_wheels /dpad_reto /joy_node /mega_bridge /robot_state_publisher /rosbag2_recorder /teleop_twist_joy_node /twist_mux,,,False
72.0,0,,/cmd_vel_to_wheels /dpad_reto /joy_node /mega_bridge /robot_state_publisher /rosbag2_recorder /teleop_twist_joy_node /twist_mux,,,False
74.0,0,,/cmd_vel_to_wheels /dpad_reto /joy_node /mega_bridge /robot_state_publisher /rosbag2_recorder /teleop_twist_joy_node /twist_mux,,,False
76.0,0,,/cmd_vel_to_wheels /dpad_reto /joy_node /mega_bridge /robot_state_publisher /rosbag2_recorder /teleop_twist_joy_node /twist_mux,,,False
78.0,0,,/cmd_vel_to_wheels /dpad_reto /joy_node /mega_bridge /robot_state_publisher /rosbag2_recorder /teleop_twist_joy_node /twist_mux,,,False
80.0,0,,/cmd_vel_to_wheels /dpad_reto /joy_node /mega_bridge /robot_state_publisher /rosbag2_recorder /teleop_twist_joy_node /twist_mux,,,False
82.0,0,,/cmd_vel_to_wheels /dpad_reto /joy_node /mega_bridge /robot_state_publisher /rosbag2_recorder /teleop_twist_joy_node /twist_mux,,,False
84.0,0,,/cmd_vel_to_wheels /dpad_reto /joy_node /mega_bridge /robot_state_publisher /rosbag2_recorder /teleop_twist_joy_node /twist_mux,,,False
86.0,0,,/cmd_vel_to_wheels /dpad_reto /joy_node /mega_bridge /robot_state_publisher /rosbag2_recorder /teleop_twist_joy_node /twist_mux,,,False
88.0,0,,/cmd_vel_to_wheels /dpad_reto /joy_node /mega_bridge /robot_state_publisher /rosbag2_recorder /teleop_twist_joy_node /twist_mux,,,False
90.0,0,,/cmd_vel_to_wheels /dpad_reto /joy_node /mega_bridge /robot_state_publisher /rosbag2_recorder /teleop_twist_joy_node /twist_mux,,,False
