pid,ppid,pgid,sid,starttime,estado,marcado,argv
8669,7693,4360,4360,13780,S,False,"/snap/chromium/3529/usr/lib/chromium-browser/chrome --type=renderer --crashpad-handler-pid=7467 --enable-crash-reporter=,snap --change-stack-guard-on-fork=enable --ozone-platform=wayland --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=19 --launch-time-ticks=137804715 --shared-files=v8_context_snapshot_data:100 --metrics-shmem-handle=4,i,13884770526804701732,6633556008130978587,1572864 --field-trial-handle=3,i,16146245858089651254,3047371716954415568,262144 --disable-features=TFLiteLanguageDetectionEnabled --variations-seed-version --pseudonymization-salt-handle=7,i,14123855985043092751,13268431499495229344,4 --trace-process-track-uuid=3190709004115666625"
8758,7693,4360,4360,13824,S,False,"/snap/chromium/3529/usr/lib/chromium-browser/chrome --type=renderer --crashpad-handler-pid=7467 --enable-crash-reporter=,snap --change-stack-guard-on-fork=enable --ozone-platform=wayland --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=20 --launch-time-ticks=138227819 --shared-files=v8_context_snapshot_data:100 --metrics-shmem-handle=4,i,11965410897349079581,2286101875713652369,1572864 --field-trial-handle=3,i,16146245858089651254,3047371716954415568,262144 --disable-features=TFLiteLanguageDetectionEnabled --variations-seed-version --pseudonymization-salt-handle=7,i,14123855985043092751,13268431499495229344,4 --trace-process-track-uuid=3190709005052708474"
8850,7693,4360,4360,13938,S,False,"/snap/chromium/3529/usr/lib/chromium-browser/chrome --type=renderer --crashpad-handler-pid=7467 --enable-crash-reporter=,snap --change-stack-guard-on-fork=enable --ozone-platform=wayland --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=21 --launch-time-ticks=139385141 --shared-files=v8_context_snapshot_data:100 --metrics-shmem-handle=4,i,8695049314801847733,18384166559940540132,1572864 --field-trial-handle=3,i,16146245858089651254,3047371716954415568,262144 --disable-features=TFLiteLanguageDetectionEnabled --variations-seed-version --pseudonymization-salt-handle=7,i,14123855985043092751,13268431499495229344,4 --trace-process-track-uuid=3190709005989750323"
8872,7693,4360,4360,13941,S,False,"/snap/chromium/3529/usr/lib/chromium-browser/chrome --type=renderer --crashpad-handler-pid=7467 --enable-crash-reporter=,snap --change-stack-guard-on-fork=enable --ozone-platform=wayland --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=22 --launch-time-ticks=139414542 --shared-files=v8_context_snapshot_data:100 --metrics-shmem-handle=4,i,7381685412630739978,10077495988448446842,1572864 --field-trial-handle=3,i,16146245858089651254,3047371716954415568,262144 --disable-features=TFLiteLanguageDetectionEnabled --variations-seed-version --pseudonymization-salt-handle=7,i,14123855985043092751,13268431499495229344,4 --trace-process-track-uuid=3190709006926792172"
9291,7693,4360,4360,14380,S,False,"/snap/chromium/3529/usr/lib/chromium-browser/chrome --type=renderer --crashpad-handler-pid=7467 --enable-crash-reporter=,snap --change-stack-guard-on-fork=enable --ozone-platform=wayland --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=18 --launch-time-ticks=143801381 --shared-files=v8_context_snapshot_data:100 --metrics-shmem-handle=4,i,15085765376511386730,16743254800737183363,1572864 --field-trial-handle=3,i,16146245858089651254,3047371716954415568,262144 --disable-features=TFLiteLanguageDetectionEnabled --variations-seed-version --pseudonymization-salt-handle=7,i,14123855985043092751,13268431499495229344,4 --trace-process-track-uuid=3190709003178624776"
9665,7047,4360,4360,14838,S,False,"/snap/chromium/3529/usr/lib/chromium-browser/chrome --type=utility --utility-sub-type=audio.mojom.AudioService --lang=en-US --service-sandbox-type=none --render-node-override=/dev/dri/renderD128 --crashpad-handler-pid=7467 --enable-crash-reporter=,snap --change-stack-guard-on-fork=enable --shared-files=v8_context_snapshot_data:100 --metrics-shmem-handle=4,i,6542643239946983796,7171938391702771033,524288 --field-trial-handle=3,i,16146245858089651254,3047371716954415568,262144 --disable-features=TFLiteLanguageDetectionEnabled --variations-seed-version --pseudonymization-salt-handle=7,i,14123855985043092751,13268431499495229344,4 --trace-process-track-uuid=3190709009737917719"
10028,7693,4360,4360,15187,S,False,"/snap/chromium/3529/usr/lib/chromium-browser/chrome --type=renderer --crashpad-handler-pid=7467 --enable-crash-reporter=,snap --change-stack-guard-on-fork=enable --ozone-platform=wayland --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=16 --launch-time-ticks=151869693 --shared-files=v8_context_snapshot_data:100 --metrics-shmem-handle=4,i,11973999063447861958,8458086205205418173,1572864 --field-trial-handle=3,i,16146245858089651254,3047371716954415568,262144 --disable-features=TFLiteLanguageDetectionEnabled --variations-seed-version --pseudonymization-salt-handle=7,i,14123855985043092751,13268431499495229344,4 --trace-process-track-uuid=3190709001304541078"
10302,7693,4360,4360,15556,S,False,"/snap/chromium/3529/usr/lib/chromium-browser/chrome --type=renderer --crashpad-handler-pid=7467 --enable-crash-reporter=,snap --change-stack-guard-on-fork=enable --ozone-platform=wayland --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=14 --launch-time-ticks=155562720 --shared-files=v8_context_snapshot_data:100 --metrics-shmem-handle=4,i,10923972808893600282,3825132588697244187,1572864 --field-trial-handle=3,i,16146245858089651254,3047371716954415568,262144 --disable-features=TFLiteLanguageDetectionEnabled --variations-seed-version --pseudonymization-salt-handle=7,i,14123855985043092751,13268431499495229344,4 --trace-process-track-uuid=3190708999430457380"
10364,7693,4360,4360,15603,S,False,"/snap/chromium/3529/usr/lib/chromium-browser/chrome --type=renderer --crashpad-handler-pid=7467 --enable-crash-reporter=,snap --change-stack-guard-on-fork=enable --ozone-platform=wayland --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=29 --launch-time-ticks=156029765 --shared-files=v8_context_snapshot_data:100 --metrics-shmem-handle=4,i,6089453248591956006,7905112390197353106,1572864 --field-trial-handle=3,i,16146245858089651254,3047371716954415568,262144 --disable-features=TFLiteLanguageDetectionEnabled --variations-seed-version --pseudonymization-salt-handle=7,i,14123855985043092751,13268431499495229344,4 --trace-process-track-uuid=3190709013486085115"
10513,7693,4360,4360,15770,S,False,"/snap/chromium/3529/usr/lib/chromium-browser/chrome --type=renderer --crashpad-handler-pid=7467 --enable-crash-reporter=,snap --change-stack-guard-on-fork=enable --ozone-platform=wayland --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=34 --launch-time-ticks=157697565 --shared-files=v8_context_snapshot_data:100 --metrics-shmem-handle=4,i,17911191475996583415,10480067104616092892,1572864 --field-trial-handle=3,i,16146245858089651254,3047371716954415568,262144 --disable-features=TFLiteLanguageDetectionEnabled --variations-seed-version --pseudonymization-salt-handle=7,i,14123855985043092751,13268431499495229344,4 --trace-process-track-uuid=3190709018171294360"
