fase,trecho,t,x,y,yaw,v_pose,wz_pose,cmd_v_bruto,cmd_wz_bruto,cmd_v_placa,cmd_wz_placa,cmd_v,cmd_wz,alvo_x,alvo_y,dist
afericao,giro_030,3.652,0.025,-0.0587,0.8048,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.652,0.025,-0.0587,0.8048,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.653,0.025,-0.0587,0.8048,-0.021,0.2571,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.653,0.025,-0.0587,0.8048,-0.021,0.2571,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.654,0.025,-0.0587,0.8048,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.654,0.025,-0.0587,0.8048,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.655,0.025,-0.0587,0.8048,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.655,0.025,-0.0587,0.8048,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.656,0.025,-0.0587,0.8048,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.656,0.025,-0.0587,0.8048,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.656,0.025,-0.0587,0.8048,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.657,0.025,-0.0587,0.8048,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.657,0.025,-0.0587,0.8048,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.657,0.025,-0.0587,0.8048,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.658,0.025,-0.0587,0.8048,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.658,0.025,-0.0587,0.8048,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.658,0.025,-0.0587,0.8048,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.659,0.025,-0.0587,0.8048,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.659,0.025,-0.0587,0.8048,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.66,0.025,-0.0587,0.8048,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.66,0.0253,-0.059,0.81,-0.0232,0.2843,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.66,0.0253,-0.059,0.81,-0.0232,0.2843,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.662,0.0253,-0.059,0.81,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.662,0.0253,-0.059,0.81,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.663,0.0253,-0.059,0.81,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.663,0.0253,-0.059,0.81,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.664,0.0253,-0.059,0.81,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.664,0.0253,-0.059,0.81,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.664,0.0253,-0.059,0.81,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.665,0.0253,-0.059,0.81,-0.0212,0.2597,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.665,0.0253,-0.059,0.81,-0.0212,0.2597,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.665,0.0253,-0.059,0.81,-0.0212,0.2597,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.665,0.0253,-0.059,0.81,-0.0212,0.2597,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.666,0.0253,-0.059,0.81,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.666,0.0253,-0.059,0.81,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.666,0.0253,-0.059,0.81,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.666,0.0253,-0.059,0.81,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.667,0.0253,-0.059,0.81,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.667,0.0253,-0.059,0.81,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.667,0.0253,-0.059,0.81,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.668,0.0253,-0.059,0.81,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.668,0.0253,-0.059,0.81,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.669,0.0253,-0.059,0.81,-0.021,0.2571,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.669,0.0253,-0.059,0.81,-0.021,0.2571,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.669,0.0253,-0.059,0.81,-0.021,0.2571,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.67,0.0253,-0.059,0.81,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.67,0.0253,-0.059,0.81,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.671,0.0253,-0.059,0.81,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.671,0.0253,-0.059,0.81,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.672,0.0253,-0.059,0.81,-0.0212,0.2597,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.672,0.0253,-0.059,0.81,-0.0212,0.2597,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.673,0.0253,-0.059,0.81,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.673,0.0253,-0.059,0.81,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.673,0.0253,-0.059,0.81,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.673,0.0253,-0.059,0.81,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.674,0.0253,-0.059,0.81,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.674,0.0253,-0.059,0.81,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.674,0.0253,-0.059,0.81,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.675,0.0253,-0.059,0.81,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.675,0.0253,-0.059,0.81,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.676,0.0253,-0.059,0.81,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.676,0.0253,-0.059,0.81,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
