dente,fase,t,cmd_v,v_esq,v_dir,x,y,yaw
0,para,2.1427102088928223,0.0,0.0,-0.0,0.33480520419071735,0.23047251499362953,0.6685496365403311
0,para,2.1432907581329346,0.0,0.0,-0.0,0.33480520419071735,0.23047251499362953,0.6685496365403311
0,para,2.1435422897338867,0.0,0.0,-0.0,0.33480520419071735,0.23047251499362953,0.6685496365403311
0,para,2.1441545486450195,0.0,0.0,-0.0,0.33480520419071735,0.23047251499362953,0.6685496365403311
0,para,2.1444320678710938,0.0,0.0,-0.0,0.33480520419071735,0.23047251499362953,0.6685496365403311
0,para,2.14511775970459,0.0,0.0,-0.0,0.33480520419071735,0.23047251499362953,0.6685496365403311
0,para,2.145416736602783,0.0,0.0,-0.0,0.33480520419071735,0.23047251499362953,0.6685496365403311
0,para,2.146064519882202,0.0,0.0,-0.0,0.33480520419071735,0.23047251499362953,0.6685496365403311
0,para,2.1464157104492188,0.0,0.0,-0.0,0.33480520419071735,0.23047251499362953,0.6685496365403311
0,para,2.147076368331909,0.0,0.0,-0.0,0.33480520419071735,0.23047251499362953,0.6685496365403311
0,para,2.147324562072754,0.0,0.0,-0.0,0.33480520419071735,0.23047251499362953,0.6685496365403311
0,para,2.1479053497314453,0.0,0.0,-0.0,0.33480520419071735,0.23047251499362953,0.6685496365403311
0,para,2.148127794265747,0.0,0.0,-0.0,0.33480520419071735,0.23047251499362953,0.6685496365403311
0,para,2.148634910583496,0.0,0.0,-0.0,0.33480520419071735,0.23047251499362953,0.6685496365403311
0,para,2.148860454559326,0.0,0.0,-0.0,0.33480520419071735,0.23047251499362953,0.6685496365403311
0,para,2.1493825912475586,0.0,0.0,-0.0,0.33480520419071735,0.23047251499362953,0.6685496365403311
0,para,2.149585723876953,0.0,0.0,-0.0,0.33480520419071735,0.23047251499362953,0.6685496365403311
0,para,2.150320529937744,0.0,0.0,-0.0,0.33725068347207837,0.228603618500661,0.6680623014463397
0,para,2.1559736728668213,0.0,0.0,-0.0,0.33725068347207837,0.228603618500661,0.6680623014463397
0,para,2.16195011138916,0.0,0.0,-0.0,0.33725068347207837,0.228603618500661,0.6680623014463397
0,para,2.1678707599639893,0.0,0.0,-0.0,0.33725068347207837,0.228603618500661,0.6680623014463397
0,para,2.1734776496887207,0.0,0.0,-0.0,0.33725068347207837,0.228603618500661,0.6680623014463397
