t,x,y,yaw,alvo_x,alvo_y,dist,rumo_alvo,erro,v_alvo,cmd_v,cmd_wz,saiu_v,saiu_wz
4.251,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
4.3,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
4.35,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
4.4,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
4.45,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
4.5,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
4.55,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
4.601,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
4.65,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
4.7,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
4.752,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
4.8,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
4.85,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
4.9,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
4.95,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
5.0,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
5.051,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
5.1,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
5.15,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
5.2,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
5.25,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
5.3,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
5.351,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
5.4,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
5.45,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
5.5,-0.0,0.0,-0.0,-1.0215473175048828,-0.3315286636352539,1.074,nan,nan,nan,0.0,0.0,0.0,0.0
5.551,-0.0,0.0,-0.0,-1.0215473175048828,-0.3315286636352539,1.074,-2.8278,-2.8278,0.5,0.0,0.0,0.0,0.0
5.6,0.0003,0.0,-0.0001,-1.0215473175048828,-0.3315286636352539,1.0743,-2.8278,-2.8277,0.5,0.23,-1.0,0.23,-1.0
5.651,0.0032,0.0001,-0.0009,-1.0215473175048828,-0.3315286636352539,1.0771,-2.8279,-2.8269,0.5,0.23,-1.0,0.23,-1.0
5.7,0.0067,0.0003,-0.002,-1.0215473175048828,-0.3315286636352539,1.0804,-2.8286,-2.8266,0.5,0.23,-1.0,0.23,-1.0
5.75,0.0143,0.0006,-0.0042,-1.0215473175048828,-0.3315286636352539,1.0878,-2.8294,-2.8252,0.5,0.23,-1.0,0.23,-1.0
5.8,0.021,0.0009,-0.0062,-1.0215473175048828,-0.3315286636352539,1.0943,-2.833,-2.8268,0.5,0.23,-1.0,0.23,-1.0
5.85,0.0335,0.0013,-0.0099,-1.0215473175048828,-0.3315286636352539,1.1063,-2.833,-2.823,0.5,0.23,-1.0,0.23,-1.0
5.9,0.0427,0.0017,-0.0129,-1.0215473175048828,-0.3315286636352539,1.1151,-2.836,-2.8231,0.5,0.23,-1.0,0.23,-1.0
5.95,0.0565,0.0022,-0.0181,-1.0215473175048828,-0.3315286636352539,1.1285,-2.8392,-2.8212,0.5,0.23,-1.0,0.23,-1.0
6.0,0.0703,0.0028,-0.0241,-1.0215473175048828,-0.3315286636352539,1.1419,-2.8413,-2.8172,0.5,0.23,-1.0,0.23,-1.0
6.05,0.0795,0.0033,-0.0286,-1.0215473175048828,-0.3315286636352539,1.1508,-2.8444,-2.8158,0.5,0.23,-1.0,0.23,-1.0
6.1,0.0887,0.0037,-0.0335,-1.0215473175048828,-0.3315286636352539,1.1598,-2.8464,-2.8129,0.5,0.23,-1.0,0.23,-1.0
6.15,0.1025,0.0044,-0.0416,-1.0215473175048828,-0.3315286636352539,1.1732,-2.8483,-2.8068,0.5,0.23,-1.0,0.23,-1.0
6.2,0.1118,0.0049,-0.0474,-1.0215473175048828,-0.3315286636352539,1.1822,-2.8512,-2.8037,0.5,0.23,-1.0,0.23,-1.0
6.25,0.1256,0.0056,-0.0569,-1.0215473175048828,-0.3315286636352539,1.1957,-2.854,-2.797,0.5,0.23,-1.0,0.23,-1.0
6.3,0.1349,0.0061,-0.0638,-1.0215473175048828,-0.3315286636352539,1.2047,-2.8558,-2.792,0.5,0.23,-1.0,0.23,-1.0
6.35,0.1488,0.0067,-0.0747,-1.0215473175048828,-0.3315286636352539,1.2182,-2.8584,-2.7838,0.5,0.23,-1.0,0.23,-1.0
6.401,0.1627,0.0074,-0.0865,-1.0215473175048828,-0.3315286636352539,1.2318,-2.8602,-2.7737,0.5,0.23,-1.0,0.23,-1.0
6.45,0.1719,0.0078,-0.0948,-1.0215473175048828,-0.3315286636352539,1.2408,-2.8628,-2.768,0.5,0.23,-1.0,0.23,-1.0
6.5,0.1812,0.0082,-0.1036,-1.0215473175048828,-0.3315286636352539,1.2498,-2.8646,-2.761,0.5,0.23,-1.0,0.23,-1.0
6.55,0.1952,0.0088,-0.1174,-1.0215473175048828,-0.3315286636352539,1.2634,-2.8672,-2.7498,0.5,0.23,-1.0,0.23,-1.0
6.6,0.2045,0.0091,-0.1271,-1.0215473175048828,-0.3315286636352539,1.2724,-2.8689,-2.7418,0.5,0.23,-1.0,0.23,-1.0
6.65,0.2185,0.0095,-0.1423,-1.0215473175048828,-0.3315286636352539,1.286,-2.8706,-2.7283,0.5,0.23,-1.0,0.23,-1.0
6.702,0.2325,0.0098,-0.1585,-1.0215473175048828,-0.3315286636352539,1.2996,-2.8732,-2.7148,0.5,0.23,-1.0,0.23,-1.0
6.751,0.2418,0.01,-0.1697,-1.0215473175048828,-0.3315286636352539,1.3087,-2.8758,-2.7061,0.5,0.23,-1.0,0.23,-1.0
6.8,0.2512,0.0101,-0.1813,-1.0215473175048828,-0.3315286636352539,1.3178,-2.8776,-2.6963,0.5,0.23,-1.0,0.23,-1.0
6.85,0.2652,0.0102,-0.1995,-1.0215473175048828,-0.3315286636352539,1.3314,-2.8794,-2.6799,0.5,0.23,-1.0,0.23,-1.0
6.9,0.2793,0.0101,-0.2185,-1.0215473175048828,-0.3315286636352539,1.345,-2.8839,-2.6654,0.5,0.23,-1.0,0.23,-1.0
6.95,0.2887,0.01,-0.2316,-1.0215473175048828,-0.3315286636352539,1.3541,-2.8839,-2.6523,0.5,0.23,-1.0,0.23,-1.0
7.0,0.2982,0.0098,-0.2451,-1.0215473175048828,-0.3315286636352539,1.3631,-2.8866,-2.6415,0.5,0.23,-1.0,0.23,-1.0
7.05,0.3123,0.0093,-0.2662,-1.0215473175048828,-0.3315286636352539,1.3767,-2.8895,-2.6233,0.5,0.23,-1.0,0.23,-1.0
7.1,0.3218,0.0089,-0.2807,-1.0215473175048828,-0.3315286636352539,1.3858,-2.8914,-2.6107,0.5,0.23,-1.0,0.23,-1.0
7.15,0.3359,0.0082,-0.3031,-1.0215473175048828,-0.3315286636352539,1.3993,-2.8934,-2.5902,0.5,0.23,-1.0,0.23,-1.0
7.2,0.3501,0.0073,-0.3264,-1.0215473175048828,-0.3315286636352539,1.4129,-2.8964,-2.5699,0.5,0.23,-1.0,0.23,-1.0
7.253,0.3596,0.0065,-0.3425,-1.0215473175048828,-0.3315286636352539,1.4219,-2.8984,-2.5559,0.5,0.23,-1.0,0.23,-1.0
7.3,0.3691,0.0057,-0.3589,-1.0215473175048828,-0.3315286636352539,1.4309,-2.9016,-2.5427,0.5,0.23,-1.0,0.23,-1.0
7.35,0.3833,0.0042,-0.3842,-1.0215473175048828,-0.3315286636352539,1.4444,-2.9037,-2.5195,0.5,0.23,-1.0,0.23,-1.0
7.4,0.3976,0.0025,-0.4104,-1.0215473175048828,-0.3315286636352539,1.4579,-2.907,-2.4966,0.5,0.23,-1.0,0.23,-1.0
7.451,0.4071,0.0012,-0.4284,-1.0215473175048828,-0.3315286636352539,1.4669,-2.9104,-2.4821,0.5,0.23,-1.0,0.23,-1.0
7.5,0.4213,-0.001,-0.456,-1.0215473175048828,-0.3315286636352539,1.4803,-2.9128,-2.4568,0.5,0.23,-1.0,0.23,-1.0
7.55,0.4308,-0.0026,-0.4749,-1.0215473175048828,-0.3315286636352539,1.4892,-2.9152,-2.4403,0.5,0.23,-1.0,0.23,-1.0
7.6,0.4403,-0.0043,-0.4942,-1.0215473175048828,-0.3315286636352539,1.4981,-2.9188,-2.4246,0.5,0.23,-1.0,0.23,-1.0
7.65,0.4545,-0.0071,-0.5239,-1.0215473175048828,-0.3315286636352539,1.5113,-2.9214,-2.3975,0.5,0.23,-1.0,0.23,-1.0
7.7,0.4687,-0.0103,-0.5544,-1.0215473175048828,-0.3315286636352539,1.5245,-2.9252,-2.3709,0.5,0.23,-1.0,0.23,-1.0
7.75,0.4782,-0.0125,-0.5752,-1.0215473175048828,-0.3315286636352539,1.5333,-2.9279,-2.3527,0.5,0.23,-1.0,0.23,-1.0
7.8,0.4876,-0.015,-0.5964,-1.0215473175048828,-0.3315286636352539,1.542,-2.932,-2.3356,0.5,0.23,-1.0,0.23,-1.0
7.85,0.5017,-0.0189,-0.629,-1.0215473175048828,-0.3315286636352539,1.555,-2.9348,-2.3059,0.5,0.23,-1.0,0.23,-1.0
7.9,0.5111,-0.0217,-0.6511,-1.0215473175048828,-0.3315286636352539,1.5636,-2.9392,-2.288,0.5,0.23,-1.0,0.23,-1.0
7.952,0.5251,-0.0263,-0.6851,-1.0215473175048828,-0.3315286636352539,1.5764,-2.9467,-2.2616,0.5,0.23,-1.0,0.23,-1.0
8.0,0.5343,-0.0295,-0.7082,-1.0215473175048828,-0.3315286636352539,1.5849,-2.9499,-2.2416,0.5,0.23,-1.0,0.23,-1.0
8.05,0.5482,-0.0347,-0.7436,-1.0215473175048828,-0.3315286636352539,1.5976,-2.9499,-2.2062,0.5,0.23,-1.0,0.23,-1.0
8.1,0.5574,-0.0384,-0.7677,-1.0215473175048828,-0.3315286636352539,1.6059,-2.9547,-2.187,0.5,0.23,-1.0,0.23,-1.0
8.15,0.571,-0.0442,-0.8046,-1.0215473175048828,-0.3315286636352539,1.6183,-2.958,-2.1534,0.5,0.23,-1.0,0.23,-1.0
8.2,0.5801,-0.0484,-0.8296,-1.0215473175048828,-0.3315286636352539,1.6265,-2.9631,-2.1335,0.5,0.23,-1.0,0.23,-1.0
8.25,0.5935,-0.0549,-0.868,-1.0215473175048828,-0.3315286636352539,1.6386,-2.972,-2.104,0.5,0.23,-1.0,0.23,-1.0
8.3,0.6068,-0.0619,-0.9071,-1.0215473175048828,-0.3315286636352539,1.6505,-2.972,-2.0648,0.5,0.23,-1.0,0.23,-1.0
8.35,0.6155,-0.0668,-0.9337,-1.0215473175048828,-0.3315286636352539,1.6583,-2.9775,-2.0438,0.5,0.23,-1.0,0.23,-1.0
8.4,0.6242,-0.0719,-0.9607,-1.0215473175048828,-0.3315286636352539,1.6661,-2.9813,-2.0206,0.5,0.23,-1.0,0.23,-1.0
8.45,0.637,-0.08,-1.0019,-1.0215473175048828,-0.3315286636352539,1.6775,-2.9871,-1.9852,0.5,0.23,-1.0,0.23,-1.0
8.5,0.6454,-0.0856,-1.0298,-1.0215473175048828,-0.3315286636352539,1.685,-2.9911,-1.9613,0.5,0.23,-1.0,0.23,-1.0
8.55,0.6578,-0.0944,-1.0724,-1.0215473175048828,-0.3315286636352539,1.696,-2.9951,-1.9227,0.5,0.23,-1.0,0.23,-1.0
8.6,0.6659,-0.1005,-1.1013,-1.0215473175048828,-0.3315286636352539,1.7032,-3.0013,-1.9,0.5,0.23,-1.0,0.23,-1.0
8.652,0.6779,-0.1101,-1.1454,-1.0215473175048828,-0.3315286636352539,1.7138,-3.0055,-1.8601,0.5,0.23,-1.0,0.23,-1.0
8.7,0.6856,-0.1167,-1.1752,-1.0215473175048828,-0.3315286636352539,1.7206,-3.012,-1.8368,0.5,0.23,-1.0,0.23,-1.0
8.75,0.697,-0.1271,-1.2207,-1.0215473175048828,-0.3315286636352539,1.7307,-3.0186,-1.7979,0.5,0.23,-1.0,0.23,-1.0
8.8,0.7044,-0.1342,-1.2516,-1.0215473175048828,-0.3315286636352539,1.7372,-3.0232,-1.7716,0.5,0.23,-1.0,0.23,-1.0
8.85,0.7152,-0.1454,-1.2985,-1.0215473175048828,-0.3315286636352539,1.7467,-3.0278,-1.7293,0.5,0.23,-1.0,0.23,-1.0
8.9,0.7221,-0.1531,-1.3303,-1.0215473175048828,-0.3315286636352539,1.7528,-3.0348,-1.7045,0.5,0.23,-1.0,0.23,-1.0
8.95,0.7321,-0.165,-1.3783,-1.0215473175048828,-0.3315286636352539,1.7616,-3.042,-1.6637,0.5,0.23,-1.0,0.23,-1.0
9.0,0.7385,-0.1732,-1.4103,-1.0215473175048828,-0.3315286636352539,1.7671,-3.0469,-1.6367,0.5,0.2299,-0.9991,0.2299,-0.9991
9.05,0.7475,-0.1859,-1.4581,-1.0215473175048828,-0.3315286636352539,1.775,-3.0519,-1.5937,0.5,0.2291,-0.991,0.2291,-0.991
9.1,0.7557,-0.1989,-1.5054,-1.0215473175048828,-0.3315286636352539,1.7822,-3.0594,-1.554,0.5,0.2278,-0.9779,0.2278,-0.9779
9.15,0.7609,-0.2077,-1.5366,-1.0215473175048828,-0.3315286636352539,1.7867,-3.0671,-1.5304,0.5,0.2266,-0.9656,0.2266,-0.9656
9.2,0.7657,-0.2167,-1.5675,-1.0215473175048828,-0.3315286636352539,1.7909,-3.0722,-1.5048,0.5,0.2258,-0.9583,0.2258,-0.9583
9.25,0.7723,-0.2303,-1.6134,-1.0215473175048828,-0.3315286636352539,1.7967,-3.08,-1.4666,0.5,0.225,-0.9502,0.225,-0.9502
9.3,0.7763,-0.2395,-1.6437,-1.0215473175048828,-0.3315286636352539,1.8002,-3.0852,-1.4416,0.5,0.2238,-0.9381,0.2238,-0.9381
9.35,0.7818,-0.2535,-1.6886,-1.0215473175048828,-0.3315286636352539,1.805,-3.0905,-1.4018,0.5,0.223,-0.93,0.223,-0.93
9.4,0.785,-0.2629,-1.7183,-1.0215473175048828,-0.3315286636352539,1.8078,-3.0984,-1.3801,0.5,0.2217,-0.9171,0.2217,-0.9171
9.45,0.7893,-0.2771,-1.7622,-1.0215473175048828,-0.3315286636352539,1.8116,-3.1036,-1.3414,0.5,0.221,-0.91,0.221,-0.91
